Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-02-28,228.77,230.25,221.85,227.11,3344.12078291,757807.645062,226.608933785
2015-05-31,233.61,233.94,229.55,230.21,5913.05798545,1372652.46826,232.139186127
2015-06-30,257.53,269.39,255.91,263.82,12009.7861067,3158012.37676,262.953257343
2015-07-31,288.49,290.0,282.79,285.19,5676.61845893,1622595.61353,285.838413357
2015-08-31,229.4,233.0,225.23,230.75,6986.51571867,1607459.15807,230.080232092
2015-09-30,236.88,238.75,236.26,237.14,5479.4328461,1301814.45569,237.581971028
2015-10-31,329.11,334.28,306.29,314.85,15213.7503313,4852961.36772,318.985211538
2015-11-30,372.25,382.87,367.5,376.86,11425.7747278,4296139.17348,376.004190162
2015-12-31,427.9,434.0,419.04,430.35,6480.69357368,2771481.46726,427.65198443
2016-01-31,378.46,382.5,365.0,367.95,5506.77681302,2076894.80341,377.152529317
2016-02-29,433.73,442.0,431.13,436.44,7578.8900694,3306667.45916,436.299699413
2016-03-31,412.97,417.6,412.74,416.03,5235.54278385,2174325.70082,415.300913503
2016-04-30,458.8,459.33,450.13,454.02,4710.2895045,2147720.44326,455.963575319
2016-05-31,532.56,544.9,520.01,531.34,8491.97268136,4519460.20539,532.203808817
2016-06-30,639.41,675.0,635.14,673.49,7764.24646799,5115134.33031,658.806279708
2016-07-31,655.95,657.0,621.37,626.97,6299.64138309,4013905.83005,637.164179031
2016-08-31,574.95,575.15,569.21,572.89,4439.62383694,2540916.04626,572.326877138
2016-09-30,605.99,608.99,605.0,608.99,4626.81936993,2804572.28216,606.155559128
2016-10-31,697.39,709.68,681.01,696.9,4474.8670547,3126631.66061,698.709396812
2016-11-30,732.44,745.0,729.17,742.69,3949.90287585,2917405.76022,738.601897797
2016-12-31,752.01,757.15,752.0,755.68,1093.12270851,825860.76097,755.505996299
2017-04-30,1364.98,1394.51,1334.02,1384.55,10543.183517,14314499.0287,1357.70178007
2017-05-31,2191.6,2338.91,2173.8,2303.29,21726.930856,48864437.8437,2249.02625077
2017-06-30,2531.16,2554.01,2446.2,2455.19,11860.9594359,29683670.5851,2502.63654855
2017-07-31,2723.99,2900.0,2700.0,2856.88,11462.1802407,31947433.2773,2787.20388324
2017-08-31,4581.98,4769.03,4580.85,4743.94,13327.5382189,62534296.0309,4692.11155158
2017-09-30,4156.99,4356.28,4143.52,4339.0,6138.37104434,26257887.184,4277.66373103
2017-10-31,6124.16,6472.13,6099.0,6445.01,14123.3362603,89248888.9795,6319.24973921
2017-11-30,9920.81,10850.0,9135.6,9903.0,39976.7353921,397381921.459,9940.32948318
2017-12-31,12839.98,14280.26,12633.8,13863.13,18299.94869442,246520550.33969,13471.106091946
2018-01-31,9995.0,10299.95,9601.02,10099.99,19226.86943543,190446577.46145,9905.2307033669
2018-02-28,10556.3,11044.0,10263.0,10307.27,18942.78036501,201609026.24044,10643.053572687
2018-03-31,6848.01,7200.0,6780.0,6928.5,14522.62120412,101935803.57491,7019.1050322232
2018-04-30,9389.01,9447.0,9110.88,9243.83,8585.68519259,79652789.040128,9277.3945530723
2018-05-31,7380.0,7609.99,7340.0,7485.0,6010.58742033,45136679.70963,7509.5288618482
2018-06-30,6202.36,6520.15,6185.0,6383.19,6733.30731441,42925861.920336,6375.1526428134
2018-07-31,8170.0,8173.57,7629.48,7727.27,12546.58021742,98162238.372292,7823.8242350693
2018-08-31,6983.0,7090.46,6884.49,7015.01,7719.66093811,53980929.725319,6992.6555269842
2018-09-30,6581.0,6642.28,6523.0,6605.0,3635.23723378,23943874.658342,6586.6058027373
2018-10-31,6267.63,6353.24,6201.67,6304.18,5095.3305483,31993760.828946,6279.0353885129
2018-11-30,4247.99,4258.01,4247.36,4254.38,56.05399743,238467.04659108,4254.2380119968
