Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-02-08,228.77,230.25,221.85,227.11,3344.12078291,757807.645062,226.608933785
2015-05-17,236.72,238.45,236.7,237.12,4917.8941314,1167794.87763,237.458319847
2015-05-24,239.38,242.0,238.27,240.82,3406.31213942,818982.647046,240.430886403
2015-05-31,233.61,233.94,229.55,230.21,5913.05798545,1372652.46826,232.139186127
2015-06-07,225.48,226.09,222.88,223.89,3622.8028596,813233.588447,224.476357109
2015-06-14,233.49,235.0,232.53,233.6,2314.73634054,540910.006871,233.681044963
2015-06-21,246.08,246.98,242.0,244.66,3694.45385093,902762.587864,244.356168541
2015-06-28,251.46,251.87,247.51,249.11,4290.97455352,1072192.35313,249.871524466
2015-07-05,260.64,275.25,258.99,271.74,8452.80236186,2261217.51729,267.510988722
2015-07-12,294.29,316.52,293.5,312.16,12918.2274397,3959207.62653,306.482266627
2015-07-19,277.71,278.48,275.0,275.61,3464.18667592,958346.348496,276.643968166
2015-07-26,289.68,294.49,288.65,293.89,3735.24660255,1091046.91906,292.095016784
2015-08-02,281.53,282.62,277.33,282.62,3361.0866893,943162.298711,280.612309618
2015-08-09,262.02,268.8,260.97,267.63,5046.97687512,1336980.78907,264.907254809
2015-08-16,262.45,263.1,255.67,259.2,5493.63748757,1427070.46404,259.767861871
2015-08-23,231.16,233.25,226.15,229.21,4312.6376901,991900.601965,229.99859326
2015-08-30,230.61,233.47,226.59,229.39,4975.99074234,1140440.21987,229.188573477
2015-09-06,236.17,244.82,235.54,241.29,5273.5396927,1270903.67964,240.996323855
2015-09-13,236.5,236.91,229.72,230.82,5004.42997556,1165192.60688,232.832233156
2015-09-20,232.88,234.0,231.84,232.24,3683.55398908,856661.090569,232.563739559
2015-09-27,234.67,235.03,233.2,233.58,3302.85450184,772539.10039,233.900433688
2015-10-04,239.93,240.28,239.07,239.87,3794.12085585,909654.860513,239.753791477
2015-10-11,246.06,250.0,245.63,249.02,4323.26612441,1069788.08835,247.449048373
2015-10-18,272.88,273.5,262.94,265.0,5660.0181334,1512531.24795,267.2308131
2015-10-25,284.29,295.93,283.28,284.97,10695.7083706,3103420.98511,290.15572205
2015-11-01,314.84,332.0,311.44,329.46,10727.7180858,3447923.25757,321.403231331
2015-11-08,384.8,389.0,363.58,373.83,7459.03455998,2835899.45007,380.196582716
2015-11-15,334.67,336.46,319.89,322.93,6329.30282708,2068553.83142,326.82175082
2015-11-22,326.99,327.0,321.0,323.71,3426.17860154,1110238.05466,324.045586579
2015-11-29,357.24,373.63,354.26,372.24,5537.92313905,2014561.54051,363.775641142
2015-12-06,388.03,401.01,375.22,387.55,9639.70483496,3782633.07411,392.40133789
2015-12-13,436.9,443.83,419.42,433.83,6721.48859993,2928653.21078,435.714971057
2015-12-20,461.29,461.3,430.0,442.22,8376.43335291,3731667.0208,445.495936466
2015-12-27,419.41,429.85,410.02,424.72,5568.9768396,2346022.55844,421.266352153
2016-01-03,435.4,435.75,425.02,431.91,3904.33531811,1681588.80768,430.697845003
2016-01-10,450.39,451.39,442.96,449.99,3954.32239952,1767141.3756,446.888542982
2016-01-17,388.7,391.0,372.0,378.46,8278.40179348,3186290.42553,384.891976134
2016-01-24,387.5,406.93,387.49,403.05,3550.83177183,1422268.94391,400.545290599
2016-01-31,378.46,382.5,365.0,367.95,5506.77681302,2076894.80341,377.152529317
2016-02-07,375.44,379.81,373.24,377.49,4164.50911131,1567454.6405,376.384010361
2016-02-14,391.0,406.92,391.0,406.59,7557.25485027,3016894.64467,399.20509556
2016-02-21,438.04,448.7,426.01,438.56,7111.14458641,3106264.81393,436.816433161
2016-02-28,433.09,436.07,423.0,433.73,5149.93009024,2216853.11661,430.462759254
2016-03-06,396.13,409.27,385.01,403.24,7676.29322299,3080220.59862,401.264061851
2016-03-13,410.56,416.38,410.01,412.52,4663.32879725,1924547.29106,412.698176503
2016-03-20,410.09,415.34,409.36,411.27,4726.10717472,1946264.7883,411.811394948
2016-03-27,416.96,426.5,416.35,425.3,4658.09803054,1967456.83484,422.37342837
2016-04-03,419.95,420.8,418.33,420.16,3266.97381272,1371067.50851,419.675083764
2016-04-10,419.46,423.99,419.46,423.4,2990.03664436,1262483.02712,422.229951429
2016-04-17,433.69,434.93,429.15,431.0,3299.73395797,1426343.51249,432.260155109
2016-04-24,455.68,465.0,454.55,464.46,6188.49079492,2845375.53308,459.785047335
2016-05-01,454.02,457.07,451.55,456.98,2941.67587876,1338835.42115,455.126763221
2016-05-08,461.91,465.0,457.5,462.79,3275.57794242,1510337.01356,461.090238153
2016-05-15,458.9,463.62,458.49,461.47,3269.98252507,1506208.10353,460.61656048
2016-05-22,446.27,446.45,440.89,442.48,3779.58274056,1678374.26113,444.063373217
2016-05-29,523.35,549.99,492.35,525.22,9854.97250368,5176695.91607,525.287707717
2016-06-05,576.31,585.0,570.22,575.17,4984.2494482,2879721.21695,577.764264586
2016-06-12,609.5,687.71,605.0,677.86,17948.7552689,11604262.0513,646.521827136
2016-06-19,759.0,771.92,744.77,768.76,5442.63878549,4129809.24369,758.788045001
2016-06-26,673.71,675.19,625.01,638.56,5678.38601546,3665911.1929,645.590346081
2016-07-03,705.25,705.25,651.0,663.55,6495.70846259,4388623.60772,675.618931021
2016-07-10,657.6,657.61,641.0,652.44,3705.89414753,2411039.99932,650.596024425
2016-07-17,666.3,680.99,665.95,680.0,3944.42402405,2658678.31639,674.034611942
2016-07-24,657.68,666.37,655.01,661.0,3423.08122968,2259696.83839,660.135324513
2016-07-31,655.95,657.0,621.37,626.97,6299.64138309,4013905.83005,637.164179031
2016-08-07,591.7,598.65,587.2,595.14,3288.65737176,1953758.57119,594.090034423
2016-08-14,586.45,586.49,565.19,574.99,4154.4769823,2390263.51008,575.346432358
2016-08-21,581.72,583.99,579.34,581.29,2442.63374814,1420763.14559,581.652139487
2016-08-28,570.83,575.41,569.65,575.41,2587.45426087,1481471.09065,572.559334884
2016-09-04,600.93,617.13,597.52,611.92,4592.85098189,2796307.00551,608.839044972
2016-09-11,623.58,630.11,591.8,607.94,4289.6247761,2642467.3002,616.013623133
