Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2011-07-31,23.49,23.5,23.49,23.5,8.5,199.73,23.4976470588
2011-08-31,15.0,18.0,15.0,18.0,10.06,180.9,17.9821073559
2011-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-31,6.799,6.799,6.799,6.799,0.17991,1.22320809,6.799
2011-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-31,12.3,12.3,12.3,12.3,17.23,211.929,12.3
2012-02-29,9.99,9.99999,9.99,9.99999,500.5000065,5000.00006,9.99000998015
2012-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-30,11.45,12.348,11.2,11.5,175.97035621,2012.40088955,11.4360221397
2012-05-31,10.86,11.99,10.86,10.9,22.5379298,269.102166122,11.9399682451
2012-06-30,14.87402,15.19495,14.87402,14.99,78.1063,1175.4021555,15.0487496591
2012-07-31,20.0,20.9,20.0,20.9,2.4,49.26,20.525
2012-08-31,23.57,25.56,23.24,25.56,250.1303513,6144.59365366,24.5655660008
2012-09-30,25.5,25.5,25.5,25.5,21.0,535.5,25.5
2012-10-31,23.83,23.99,22.505,23.99,75.10745217,1790.64952215,23.8411698229
2012-11-30,27.99897,27.99897,27.0,27.5,33.94444,935.7663114,27.5675872514
2012-12-31,30.5,30.5,29.70312,29.70312,10.40436313,313.967585051,30.1765308581
2013-01-31,43.89,48.0,43.89,47.89,76.68853489,3569.17324402,46.5411583249
2013-02-28,66.5,70.0001,66.5,70.0001,62.7866912,4262.72741511,67.8922130414
2013-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-30,299.0,320.0,299.0,300.0,10.08967574,3038.31559473,301.131143659
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-30,230.0,249.89,220.0,246.99,10.65413294,2376.9597882,223.102133378
2013-07-31,240.99,240.99,230.0,230.0,43.91538639,10328.5632277,235.192356865
2013-08-31,319.95,345.0,315.1,335.0,14.07571979,4690.07880127,333.203478845
2013-09-30,320.0,343.87,318.0,335.37,40.87934021,13551.4652812,331.499119397
2013-10-31,477.9988,488.99,465.0,485.89999,56.24290602,27167.0491403,483.030680004
2013-11-30,3255.0,3391.0,3003.0,3050.0,85.88811111,277924.743102,3235.89306494
2013-12-31,1850.0,1889.0,1823.33,1850.0,9.75146938,18128.9626184,1859.10060443
2014-01-31,1940.00002,1940.00002,1839.0,1919.99999,98.95010364,185128.512513,1870.92792936
2014-02-28,1410.0,1435.0,1350.0002,1372.00001,45.54076536,64025.4229481,1405.89255455
2014-03-31,1160.0,1285.0,1124.8,1237.0,51.43333466,61640.3996183,1198.45232719
2014-04-30,1147.79997,1147.79998,1062.0,1100.0,54.97658155,60411.7879368,1098.86402962
2014-05-31,1507.9999,1535.00001,1467.0,1535.00001,15.9010823,23950.6560174,1506.22803942
2014-06-30,1421.99999,1510.0,1400.00002,1467.0,54.3554219,79105.5024466,1455.33784269
2014-07-31,1464.99967,1498.0,1430.0,1473.05009,76.67506714,112378.304666,1465.64338132
2014-08-31,1244.99991,1244.99991,1160.5,1188.89998,23.14755305,27881.3600355,1204.50571925
2014-09-30,998.97999,1069.99999,962.99998,1000.0,112.42261757,112832.930082,1003.64973277
2014-10-31,886.0004,923.0518,872.0,889.99998,144.45407097,129045.175207,893.330138364
2014-11-30,1019.99999,1020.0,1005.99923,1019.00023,15.32412924,15515.0757103,1012.4605103
2014-12-31,882.13221,931.58,852.0,880.00001,73.51432318,65923.6489364,896.745642002
2015-01-31,666.70843,693.33,644.0,679.94995,66.45101891,44025.3741526,662.523688497
2015-02-28,729.99999,736.0,721.00003,736.0,26.02225684,19107.6991013,734.28293398
2015-03-31,840.0,865.99999,825.14,839.96971,109.29999681,92351.1654867,844.932920238
