Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2011-07-31,23.49,23.5,23.49,23.5,8.5,199.73,23.4976470588
2011-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-14,19.85,19.85,19.85,19.85,1.0,19.85,19.85
2011-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-28,1.0,18.97,1.0,18.5,0.80651,14.70621,18.2343802309
2011-09-04,10.0,18.49,10.0,14.0,5.63133,85.56892,15.1951528325
2011-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-18,12.13,13.9,12.0,12.13,4.5728,61.344416,13.4150664801
2011-09-25,12.0,12.0,12.0,12.0,0.09469,1.13628,12.0
2011-10-02,12.999,13.499,12.999,13.499,1.98,26.23802,13.2515252525
2011-10-09,8.99,9.0,8.99,9.0,5.36527,48.2779899,8.99824051725
2011-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-30,6.0,6.8,6.0,6.8,0.181,1.097464,6.06333701657
2011-11-06,9.9989,9.9989,8.0,8.0,0.2332,2.045501,8.77144511149
2011-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-20,8.102,8.102,6.9,6.9,75.48593,525.120017,6.95652841529
2011-11-27,6.9,6.9,5.95,5.95,0.15,0.9495,6.33
2011-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-11,6.9,9.989,6.9,9.989,1.71,12.75659,7.45999415205
2011-12-18,5.6,5.6,5.6,5.6,0.05,0.28,5.6
2011-12-25,8.0,8.47,8.0,8.47,53.42301,431.8399197,8.08340675114
2012-01-01,10.999,11.0,10.999,11.0,17.3,190.2997,10.999982659
2012-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-15,19.0,19.0,14.0,14.0,400.03184752,7279.48225536,18.1972567947
2012-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-05,13.0,13.0,13.0,13.0,487.77358082,6341.05655066,13.0
2012-02-12,11.0,12.1,11.0,12.1,40.37190082,449.999999922,11.1463664277
2012-02-19,9.876,9.876,9.876,9.876,0.14265,1.4088114,9.876
2012-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-04,10.04,10.04,10.04,10.04,6.9,69.276,10.04
2012-03-11,10.0,10.0,10.0,10.0,400.0,4000.0,10.0
2012-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-25,10.15,10.45,10.15,10.3,64.31022,670.097266,10.4197632351
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-08,11.0999,11.1,11.0999,11.1,5.0,55.4997,11.09994
2012-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-29,11.45,11.45,11.45,11.45,0.082,0.9389,11.45
2012-05-06,12.29,12.29,12.0,12.29,58.359375,703.65659875,12.057301826
2012-05-13,11.3001,11.3001,11.27,11.27,12.85,144.90501,11.2766544747
2012-05-20,11.85,11.85,11.53,11.53,4.333233,51.33921105,11.8477845641
2012-05-27,11.2,11.27,11.2,11.27,17.3161624,194.867827,11.2535227205
2012-06-03,11.8,11.8,11.8,11.8,22.0,259.6,11.8
2012-06-10,11.52001,11.6,11.52001,11.6,0.35516,4.101099,11.5471871832
2012-06-17,14.0,14.0,13.6,13.6,70.0496,959.254571,13.6939335985
2012-06-24,14.4,14.4,14.302,14.303,11.17787469,160.166077691,14.328848921
2012-07-01,14.87402,15.60169,14.87402,15.60169,74.15227,1123.9204418,15.1569256316
2012-07-08,15.53,15.53,15.53,15.53,34.60689,537.4450017,15.53
2012-07-15,16.16101,16.16166,16.16101,16.16166,23.18193166,374.654593302,16.1614915787
2012-07-22,18.9,20.33998,18.8,19.4,79.85367656,1553.62125591,19.4558512874
2012-07-29,20.69,20.69,20.1,20.1,39.19096,790.7652156,20.1772351481
2012-08-05,22.0001,22.0002,21.5,22.0001,3.90663374,84.5456256359,21.6415541519
2012-08-12,23.5,23.62,23.5,23.62,2.58104168,60.6958490456,23.5160282439
2012-08-19,23.71,24.75,16.9,16.9,124.57516878,2767.46821704,22.2152475822
2012-08-26,23.5,23.5,22.8,22.8,46.40019883,1077.49904093,23.2218625802
2012-09-02,25.24,25.2522,23.5,24.98,173.06381519,4226.05458308,24.4190536216
