Date,Open,High,Low,Close,Volume
2017-07-31,555.89,578.97,217.06,294.46,6769350
2017-08-31,294.6,1091.97,200.98,588.17,17120742664
2017-09-30,588.4,707.98,301.69,432.63,11313133064
2017-10-31,433.38,526.12,289.04,439.05,10862082928
2017-11-30,438.3,2477.65,437.91,1389.78,65023965216
2017-12-31,1381.81,4355.62,1226.21,2533.01,64494638272
2018-01-31,2534.82,3071.16,1361.02,1486.89,42244036064
2018-02-28,1491.12,1641.4,764.02,1204.16,19146145984
2018-03-31,1204.84,1303.66,677.53,685.25,12342156128
2018-04-30,688.01,1560.94,603.71,1350.05,19907360032
2018-05-31,1348.64,1838.49,880.89,995.34,29661600832
2018-06-30,995.66,1206.53,651.21,748.71,15393792032
2018-07-31,749.18,880.98,669.52,777.15,15957662984
2018-08-31,779.95,779.95,481.43,543.08,11034762000
2018-09-30,543.96,653.69,413.04,529.92,13279607000
2018-10-31,531.64,547.49,411.52,422.86,10436746000
2018-11-30,423.07,638.55,154.28,182.04,14759225600
