Date,Open,High,Low,Close,Volume
2017-07-23,555.89,578.97,411.78,413.06,85013
2017-07-30,412.58,578.89,217.06,345.66,5608377
2017-08-06,346.36,756.93,200.98,220.66,1081476776
2017-08-13,223.76,386.29,223.76,298.05,1403794984
2017-08-20,296.1,1091.97,290.21,712.87,8937672896
2017-08-27,723.7,756.59,570.27,620.9,4370583984
2017-09-03,619.7,645.52,528.32,607.43,2417469024
2017-09-10,608.26,707.98,458.78,537.07,3777404016
2017-09-17,537.19,559.22,301.69,419.86,2388953984
2017-09-24,422.09,550.41,402.77,421.03,2792425048
2017-10-01,419.65,465.2,415.15,415.15,1429460976
2017-10-08,415.87,430.86,337.0,342.21,1346551000
2017-10-15,342.76,352.02,289.04,314.95,1635258976
2017-10-22,315.26,394.96,309.64,331.66,2444406984
2017-10-29,330.67,526.12,309.87,451.92,4131367936
2017-11-05,458.45,684.53,417.62,630.7,7584106144
2017-11-12,630.31,2477.65,565.6,1388.86,21424014880
2017-11-19,1381.82,1501.16,863.98,1172.05,17448060160
2017-11-26,1172.43,1782.83,1140.88,1735.66,13484672000
2017-12-03,1722.93,1742.4,1222.1,1559.93,9239721024
2017-12-10,1560.16,1731.32,1226.21,1323.07,8752739904
2017-12-17,1320.0,2080.41,1316.85,1862.88,9720716992
2017-12-24,1869.21,4355.62,1799.12,2903.12,30439160576
2017-12-31,2929.35,3112.64,2329.47,2533.01,12565619840
2018-01-07,2534.82,3071.16,2359.3,2786.88,18049793088
2018-01-14,2786.6,2976.49,2275.07,2553.32,10362510016
2018-01-21,2541.58,2576.13,1361.02,1776.64,8202845952
2018-01-28,1794.46,1815.42,1500.37,1746.25,3887642016
2018-02-04,1745.36,1763.24,980.78,1165.38,4425065920
2018-02-11,1159.89,1394.81,764.02,1217.64,6935390016
2018-02-18,1222.43,1641.4,1205.73,1487.46,4551784032
2018-02-25,1483.34,1569.03,1143.07,1178.1,3718756000
2018-03-04,1177.58,1303.66,1149.44,1289.08,2899380992
2018-03-11,1287.1,1291.88,937.97,1145.17,3049025056
2018-03-18,1143.94,1152.56,851.61,938.11,2983362016
2018-03-25,942.6,1082.35,915.51,966.88,2466943040
2018-04-01,967.9,975.61,629.93,643.03,2518280032
2018-04-08,644.46,719.77,603.71,655.26,1767991008
2018-04-15,656.09,785.35,627.32,780.83,2128022016
2018-04-22,781.12,1250.51,745.73,1201.22,5075158016
2018-04-29,1194.71,1560.94,1194.71,1440.3,9864635008
2018-05-06,1440.96,1838.49,1261.6,1765.69,8547091968
2018-05-13,1766.66,1781.47,1284.44,1493.12,8707967936
2018-05-20,1489.33,1501.64,1143.12,1291.77,6093820992
2018-05-27,1296.03,1301.55,958.82,996.92,4514296896
2018-06-03,996.65,1190.57,880.89,1170.4,4621448064
2018-06-10,1170.78,1206.53,909.61,939.55,4476456992
2018-06-17,937.63,975.83,818.62,852.1,3186080960
2018-06-24,849.81,918.2,676.94,749.36,3198615008
2018-07-01,748.63,774.65,651.21,739.42,3021522016
2018-07-08,739.25,819.37,705.11,751.35,3260852032
2018-07-15,751.57,757.37,669.52,722.97,2317927008
2018-07-22,724.48,880.98,718.95,788.67,4346460960
2018-07-29,789.69,871.47,778.65,828.98,4484588000
2018-08-05,828.55,829.87,687.86,709.22,2878314000
2018-08-12,711.01,718.65,548.48,570.96,2511226000
2018-08-19,571.02,606.92,481.43,569.93,2840795000
2018-08-26,570.11,575.63,512.11,522.88,2113929000
2018-09-02,523.02,653.69,520.09,645.88,2740358000
2018-09-09,648.33,650.69,466.3,481.19,2712626000
2018-09-16,484.22,486.98,414.46,449.16,2236748000
2018-09-23,450.38,506.44,413.04,488.65,2797429000
2018-09-30,487.92,585.36,428.91,529.92,4471985000
2018-10-07,531.64,547.49,502.54,517.47,3124818000
2018-10-14,518.71,530.92,429.39,439.23,2404821000
2018-10-21,438.65,487.21,432.93,447.85,2360537000
2018-10-28,447.19,452.53,435.83,441.08,1722023000
2018-11-04,440.21,586.04,411.52,560.18,3500814000
2018-11-11,557.72,638.55,517.66,533.34,5837161000
2018-11-18,533.57,542.68,380.02,386.25,5204654000
2018-11-25,383.63,415.15,154.28,184.58,757714600
2018-12-02,184.83,215.77,170.62,182.04,283429000
