Date,Open,High,Low,Close,Volume
2013-12-31,763.28,777.51,705.35,754.01,139984800
2014-01-31,754.97,1017.12,754.97,829.92,1153386488
2014-02-28,828.61,853.52,420.41,549.26,1269686300
2014-03-31,549.92,702.91,443.36,457.0,763979326
2014-04-30,457.0,542.38,351.27,447.64,789304230
2014-05-31,447.63,624.72,423.25,623.68,503299100
2014-06-30,623.69,674.11,549.82,639.8,721873150
2014-07-31,641.39,657.86,564.51,586.23,450725750
2014-08-31,586.2,598.12,443.85,477.76,694524490
2014-09-30,477.79,493.93,372.24,386.94,696572150
2014-10-31,387.43,411.7,289.3,338.32,902994450
2014-11-30,338.65,457.09,320.63,378.05,659733360
2014-12-31,378.25,384.04,304.23,320.19,553102310
2015-01-31,320.43,320.43,171.51,217.46,1098811912
2015-02-28,216.87,265.61,212.01,254.26,711518700
2015-03-31,254.28,300.04,236.51,244.22,959098300
2015-04-30,244.22,261.8,214.87,236.15,672338700
2015-05-31,235.94,247.8,228.57,230.19,568122600
2015-06-30,230.23,267.87,221.3,263.07,629780200
2015-07-31,263.35,314.39,253.51,284.65,999892200
2015-08-31,284.69,285.71,199.57,230.06,905192300
2015-09-30,230.26,259.18,225.12,236.06,603623900
2015-10-31,236.0,334.17,235.62,314.17,953279500
2015-11-30,315.01,495.56,301.0,377.32,2177623396
2015-12-31,377.41,469.1,349.46,430.57,2096250000
2016-01-31,430.72,462.93,354.91,368.77,1990880304
2016-02-29,369.35,448.05,367.96,437.7,1876238692
2016-03-31,437.92,439.65,394.04,416.73,2332852776
2016-04-30,416.76,467.96,415.83,448.32,1811475204
2016-05-31,448.48,553.96,437.39,531.39,2234432796
2016-06-30,531.11,777.99,525.64,673.34,4749702740
2016-07-31,672.52,704.97,611.83,624.68,3454186204
2016-08-31,624.6,626.12,531.33,575.47,2686220180
2016-09-30,575.55,628.82,570.81,609.73,2004401400
2016-10-31,609.93,720.4,609.48,700.97,2115443796
2016-11-30,701.34,756.24,678.16,745.69,2635773092
2016-12-31,746.05,979.4,746.05,963.74,3556763800
2017-01-31,963.66,1191.1,755.76,970.4,5143971692
2017-02-28,970.94,1200.39,946.69,1179.97,4282761200
2017-03-31,1180.04,1280.31,903.71,1071.79,10872455960
2017-04-30,1071.71,1347.91,1061.09,1347.89,9757448112
2017-05-31,1348.3,2763.71,1348.3,2286.41,34261856864
2017-06-30,2288.33,2999.91,2212.96,2480.84,44478140928
2017-07-31,2492.6,2916.14,1843.03,2875.34,32619956992
2017-08-31,2871.3,4736.05,2668.59,4703.39,63548016640
2017-09-30,4701.76,4975.04,2946.62,4338.71,55700949056
2017-10-31,4341.05,6470.43,4164.05,6468.4,58009357952
2017-11-30,6440.97,11517.4,5519.01,10233.6,140735010304
2017-12-31,10198.6,20089.0,9694.65,14156.4,410336495104
2018-01-31,14112.2,17712.4,9402.29,10221.1,416247858176
2018-02-28,10237.3,11958.5,6048.26,10397.9,229717780480
2018-03-31,10385.0,11704.1,6683.93,6973.53,193751709184
2018-04-30,7003.06,9745.32,6526.87,9240.55,196550010624
2018-05-31,9251.47,9964.5,7090.68,7494.17,197611709696
2018-06-30,7500.7,7754.89,5826.41,6404.0,130214179584
2018-07-31,6411.68,8424.27,6136.42,7780.44,141441939792
2018-08-31,7769.04,7769.04,5971.05,7037.58,132292770000
2018-09-30,7044.81,7388.43,6197.52,6625.56,129745370000
2018-10-31,6619.85,6965.06,6236.47,6317.61,118436880000
2018-11-30,6318.14,6552.16,3585.06,3779.13,132529160000
