Date,Open,High,Low,Close,Volume
2013-12-29,763.28,777.51,705.35,745.05,98379800
2014-01-05,741.35,952.4,738.17,933.53,251297496
2014-01-12,936.05,1017.12,776.18,863.22,417306092
2014-01-19,860.19,872.81,797.63,870.96,195117300
2014-01-26,871.39,897.02,783.58,885.28,172151000
2014-02-02,884.6,893.0,757.11,825.37,190089200
2014-02-09,824.08,840.17,654.35,682.9,294750600
2014-02-16,681.32,712.46,541.04,616.63,418735800
2014-02-23,614.23,656.95,530.47,605.82,222762800
2014-03-02,606.04,607.61,420.41,559.79,329086360
2014-03-09,562.56,702.91,560.52,636.96,258132996
2014-03-16,636.33,648.03,615.02,631.11,84161570
2014-03-23,630.92,632.68,554.39,561.27,138524700
2014-03-30,562.51,590.03,444.18,460.27,228287200
2014-04-06,462.3,495.34,414.89,460.5,200924300
2014-04-13,461.47,462.56,351.27,414.06,199893700
2014-04-20,414.83,542.38,407.37,498.17,241530500
2014-04-27,497.74,510.57,436.39,436.39,119686830
2014-05-04,430.72,460.61,422.94,436.4,94259800
2014-05-11,434.78,455.77,423.25,438.89,79573080
2014-05-18,438.3,451.98,434.23,446.26,44181100
2014-05-25,446.08,576.48,443.1,571.59,187726920
2014-06-01,571.39,671.51,554.43,630.23,198340200
2014-06-08,629.65,674.11,618.74,656.14,196606290
2014-06-15,655.64,659.61,549.82,592.94,210724200
2014-06-22,592.65,615.88,587.07,602.27,116208690
2014-06-29,602.16,604.47,564.73,602.72,106652470
2014-07-06,602.62,657.86,599.88,635.81,171009040
2014-07-13,635.46,637.16,612.35,626.5,94606050
2014-07-20,626.56,629.21,608.4,623.9,80479350
2014-07-27,623.95,624.43,593.43,593.85,83095210
2014-08-03,594.14,597.92,564.51,586.67,104451470
2014-08-10,586.23,598.12,583.1,591.06,72837050
2014-08-17,591.28,591.51,483.63,491.8,163055500
2014-08-24,491.51,531.9,443.85,508.29,266355500
2014-08-31,508.22,520.71,474.81,477.76,155783470
2014-09-07,477.79,493.93,471.91,482.28,118091450
2014-09-14,481.81,489.83,467.78,477.89,135457200
2014-09-21,477.77,478.62,384.53,398.82,189045900
2014-09-28,399.1,441.56,374.33,377.18,186772600
2014-10-05,376.93,391.38,289.3,320.51,276657896
2014-10-12,320.39,382.73,302.56,378.55,341152804
2014-10-19,377.92,411.7,368.9,389.55,156902070
2014-10-26,389.23,392.65,342.88,354.7,113691800
2014-11-02,354.78,359.98,320.63,325.89,107075700
2014-11-09,325.57,363.63,325.08,363.26,116793470
2014-11-16,362.27,457.09,357.56,387.88,208239500
2014-11-23,388.35,410.2,344.11,367.57,178181000
2014-11-30,366.95,394.7,358.45,378.05,131238570
2014-12-07,378.25,384.04,365.76,375.1,80679570
2014-12-14,374.96,376.03,338.76,351.63,141754100
2014-12-21,351.36,351.82,304.23,320.84,184757400
2014-12-28,321.07,336.29,311.08,317.24,107137540
2015-01-04,317.7,320.43,257.61,264.2,143354400
2015-01-11,265.08,298.75,265.04,265.66,164241500
2015-01-18,266.15,272.2,171.51,210.34,363112212
2015-01-25,211.47,255.07,205.15,253.72,189165500
2015-02-01,254.08,309.38,212.01,226.97,306840500
2015-02-08,226.49,245.96,214.73,223.41,183691200
2015-02-15,223.39,265.61,215.33,234.82,230343800
