Date,Open,High,Low,Close,Volume
2017-07-01,1.03,1.07,0.989566,1.01,13613000
2017-07-02,0.996521,2.88,0.822648,2.71,320452000
2017-07-03,2.72,5.4,2.63,4.09,414950016
2017-07-04,4.1,4.19,2.93,3.37,218559008
2017-07-05,3.36,3.52,2.73,3.0,124339000
2017-07-06,3.01,3.87,3.01,3.36,177463008
2017-07-07,3.35,3.35,2.71,2.8,96596496
2017-07-08,2.82,2.9,2.09,2.59,151162000
2017-07-09,2.6,2.69,2.19,2.29,87525104
2017-07-10,2.25,2.39,1.72,1.83,79608800
2017-07-11,1.79,1.82,1.42,1.66,111023000
2017-07-12,1.64,2.09,1.54,2.07,104621000
2017-07-13,2.08,2.13,1.71,1.74,51203900
2017-07-14,1.73,1.77,1.54,1.55,41025200
2017-07-15,1.55,1.55,1.3,1.3,34208800
2017-07-16,1.29,1.35,1.19,1.25,30802800
2017-07-17,1.25,1.57,1.25,1.54,62295100
2017-07-18,1.54,1.75,1.48,1.7,58108000
2017-07-19,1.7,1.79,1.54,1.56,55057600
2017-07-20,1.57,1.76,1.57,1.74,45949800
2017-07-21,1.76,2.02,1.73,1.82,58164900
2017-07-22,1.82,2.0,1.81,1.96,41809000
2017-07-23,1.96,2.14,1.74,1.87,60205000
2017-07-24,1.88,1.95,1.82,1.87,36585400
2017-07-25,1.88,1.89,1.55,1.65,42547000
2017-07-26,1.64,1.74,1.47,1.74,48693200
2017-07-27,1.75,1.98,1.73,1.95,69371696
2017-07-28,1.96,2.01,1.85,1.85,64730400
2017-07-29,1.83,1.84,1.66,1.83,44021100
2017-07-30,1.83,1.84,1.71,1.78,27580200
2017-07-31,1.77,1.79,1.71,1.74,29657700
2017-08-01,1.75,1.81,1.68,1.78,39175500
2017-08-02,1.78,1.82,1.76,1.78,28880800
2017-08-03,1.78,1.81,1.75,1.8,25878000
2017-08-04,1.8,1.85,1.8,1.81,34183300
2017-08-05,1.8,1.98,1.76,1.91,52324800
2017-08-06,1.9,1.9,1.72,1.74,38436700
2017-08-07,1.73,1.83,1.71,1.81,46022400
2017-08-08,1.81,2.04,1.79,1.88,76270800
2017-08-09,1.88,1.95,1.81,1.83,36813700
2017-08-10,1.83,1.89,1.83,1.83,43519300
2017-08-11,1.83,1.87,1.77,1.79,49178400
2017-08-12,1.79,1.82,1.66,1.67,38131800
2017-08-13,1.67,1.68,1.58,1.62,40514200
2017-08-14,1.61,1.67,1.54,1.66,39205300
