Date,Open,High,Low,Close,Volume
2017-07-31,1.03,5.4,0.822648,1.74,2801929228
2017-08-31,1.75,2.04,1.19,1.3,1001825800
2017-09-30,1.3,1.43,0.52467,0.721609,439905230
2017-10-31,0.721765,0.781782,0.480196,0.781782,247503790
2017-11-30,0.785862,3.33,0.758617,2.85,1733006396
2017-12-31,2.83,13.18,2.73,8.77,12093106032
2018-01-31,8.77,18.71,7.67,12.2,39537761440
2018-02-28,12.24,12.4,5.85,8.41,13811763968
2018-03-31,8.39,8.74,3.95,5.99,12521160960
2018-04-30,6.0,22.89,5.25,17.58,37861140272
2018-05-31,17.67,19.51,10.53,12.28,51516207744
2018-06-30,12.29,15.61,7.1,8.13,33231229024
2018-07-31,8.15,9.39,6.65,7.37,21948787968
2018-08-31,7.36,7.39,4.27,6.43,19592340000
2018-09-30,6.44,6.73,4.69,5.72,21385721000
2018-10-31,5.74,5.99,5.03,5.2,15352100000
2018-11-30,5.2,5.77,3.03,3.18,21686224000
