Date,Open,High,Low,Close,Volume
2017-07-02,1.03,2.88,0.822648,2.71,334065000
2017-07-09,2.72,5.4,2.09,2.29,1270594632
2017-07-16,2.25,2.39,1.19,1.25,452493500
2017-07-23,1.25,2.14,1.25,1.87,381589400
2017-07-30,1.88,2.01,1.47,1.78,333528996
2017-08-06,1.77,1.98,1.68,1.74,248536800
2017-08-13,1.73,2.04,1.58,1.62,330450600
2017-08-20,1.61,1.81,1.32,1.37,214530100
2017-08-27,1.37,1.53,1.26,1.35,153563600
2017-09-03,1.35,1.43,1.18,1.25,171615300
2017-09-10,1.25,1.25,0.707969,0.739763,160865440
2017-09-17,0.739553,0.853169,0.52467,0.648592,76151690
2017-09-24,0.650438,0.708576,0.534403,0.546274,44546200
2017-10-01,0.546514,0.835309,0.543055,0.70776,80067190
2017-10-08,0.707986,0.714239,0.572312,0.604501,47793800
2017-10-15,0.603543,0.632223,0.547139,0.571914,53343310
2017-10-22,0.571853,0.59005,0.504792,0.51797,46540750
2017-10-29,0.517658,0.680899,0.480196,0.665881,54205940
2017-11-05,0.667644,1.39,0.646114,1.09,309748100
2017-11-12,1.07,1.21,0.914666,1.09,185491100
2017-11-19,1.09,2.03,1.08,1.88,415816000
2017-11-26,1.89,2.66,1.73,2.46,407582300
2017-12-03,2.46,4.12,2.38,3.61,821211704
2017-12-10,3.61,5.1,3.5,3.77,1110776992
2017-12-17,3.77,9.26,3.73,8.22,3239410000
2017-12-24,8.22,13.18,6.69,8.14,4429370032
2017-12-31,8.2,10.81,7.92,8.77,2943388000
2018-01-07,8.77,13.37,8.51,12.52,4706762016
2018-01-14,12.51,18.71,8.44,13.44,10608672128
2018-01-21,13.42,15.76,7.67,13.44,11808507200
2018-01-28,13.54,15.18,11.87,15.02,9859361088
2018-02-04,15.03,15.17,7.64,8.61,6332908096
2018-02-11,8.68,10.3,5.85,8.41,4774645952
2018-02-18,8.45,10.3,8.45,9.38,2472240976
2018-02-25,9.37,10.01,7.7,7.9,1825004976
2018-03-04,7.9,9.22,7.63,8.18,1724839984
2018-03-11,8.18,8.29,5.38,6.14,2150248976
2018-03-18,6.15,6.23,3.95,4.65,1568082016
2018-03-25,4.71,7.34,4.57,6.52,4634430048
2018-04-01,6.53,6.57,5.25,5.66,3806285920
2018-04-08,5.68,6.46,5.5,5.97,2263032000
2018-04-15,5.98,9.27,5.8,8.4,6597441968
2018-04-22,8.39,11.83,7.84,11.35,5982776928
2018-04-29,11.33,22.89,11.32,21.54,18543216256
2018-05-06,21.64,21.64,16.31,17.47,16879280000
2018-05-13,17.67,18.88,12.59,14.94,13538979968
2018-05-20,14.93,15.02,12.06,14.01,9844089920
2018-05-27,14.03,14.17,10.53,12.51,9457748032
2018-06-03,12.5,15.61,10.93,14.62,11444190080
2018-06-10,14.6,14.82,10.56,11.39,9380119936
2018-06-17,11.31,11.64,9.44,10.44,7348943968
2018-06-24,10.44,10.84,7.1,8.09,6316869056
2018-07-01,8.07,8.51,7.18,8.13,5232228928
2018-07-08,8.14,9.39,7.94,8.71,5510743936
2018-07-15,8.71,8.74,6.65,7.4,4097116000
2018-07-22,7.4,9.21,7.27,7.9,5206056032
2018-07-29,7.88,8.84,7.79,8.34,4954988992
2018-08-05,8.34,8.34,6.92,7.06,4284840000
2018-08-12,7.06,7.18,4.91,5.01,4672786000
2018-08-19,5.01,5.62,4.27,5.31,5095926000
2018-08-26,5.3,5.35,4.6,4.95,3322232000
2018-09-02,4.95,6.73,4.93,6.6,5424901000
2018-09-09,6.64,6.68,4.69,4.97,5144141000
2018-09-16,4.99,5.52,4.79,5.42,4136950000
2018-09-23,5.43,6.22,4.76,6.02,5124974000
2018-09-30,6.02,6.03,5.08,5.72,5329551000
2018-10-07,5.74,5.85,5.49,5.76,4036256000
2018-10-14,5.77,5.99,5.03,5.17,3719179000
2018-10-21,5.16,5.64,5.11,5.42,3374138000
2018-10-28,5.41,5.48,5.33,5.43,2435300000
2018-11-04,5.41,5.53,5.08,5.45,4376741000
2018-11-11,5.44,5.77,5.29,5.44,4877593000
2018-11-18,5.45,5.46,4.26,4.59,6329566000
2018-11-25,4.6,4.6,3.03,3.35,6905023000
2018-12-02,3.35,3.41,3.08,3.18,984528000
