Date,Open,High,Low,Close,Volume
2013-12-31,0.024426,0.028106,0.023527,0.02733,484853
2014-01-31,0.027365,0.029668,0.017709,0.020504,2556261
2014-02-28,0.020519,0.021884,0.010839,0.013667,3010033
2014-03-31,0.013687,0.018208,0.0087,0.008785,3957661
2014-04-30,0.008785,0.009319,0.004711,0.005364,6581780
2014-05-31,0.005364,0.007704,0.003063,0.004146,16548406
2014-06-30,0.004145,0.00458,0.003779,0.00378,5348269
2014-07-31,0.00378,0.00646,0.002802,0.005189,8306288
2014-08-31,0.005183,0.005522,0.004763,0.004887,7582193
2014-09-30,0.004886,0.005803,0.004511,0.004644,9776712
2014-10-31,0.004645,0.005243,0.004525,0.004867,7166996
2014-11-30,0.004865,0.015297,0.004636,0.011211,29228626
2014-12-31,0.011204,0.028034,0.008105,0.024438,66809767
2015-01-31,0.024455,0.024455,0.014113,0.014298,43380373
2015-02-28,0.014286,0.015494,0.012983,0.012998,20921878
2015-03-31,0.012992,0.012992,0.007772,0.007772,35716645
2015-04-30,0.007772,0.009269,0.007564,0.008029,15391396
2015-05-31,0.008035,0.009179,0.005697,0.00829,18297059
2015-06-30,0.008276,0.012017,0.007429,0.01132,15896274
2015-07-31,0.011317,0.011405,0.007447,0.008437,15074103
2015-08-31,0.008438,0.008905,0.007041,0.007884,10414486
2015-09-30,0.007884,0.008645,0.005421,0.00552,12300980
2015-10-31,0.005518,0.005902,0.004554,0.004687,12339800
2015-11-30,0.004685,0.00586,0.00413,0.004201,12175336
2015-12-31,0.004202,0.009071,0.004041,0.00604,37887299
2016-01-31,0.00604,0.007001,0.005011,0.006399,20090306
2016-02-29,0.006398,0.008666,0.006366,0.007923,25743896
2016-03-31,0.007923,0.008993,0.007274,0.007391,24004891
2016-04-30,0.007391,0.007536,0.005685,0.006812,21524624
2016-05-31,0.006812,0.006819,0.005614,0.005706,15843898
2016-06-30,0.005701,0.007577,0.00569,0.006657,57012719
2016-07-31,0.006651,0.008447,0.005944,0.005945,22900464
2016-08-31,0.005942,0.00656,0.00563,0.006012,28975007
2016-09-30,0.006013,0.00924,0.005815,0.00883,96112558
2016-10-31,0.008839,0.009485,0.00726,0.008196,92834093
2016-11-30,0.008197,0.008308,0.00672,0.006723,60944653
2016-12-31,0.006723,0.007162,0.006126,0.006449,55858911
2017-01-31,0.006523,0.00716,0.006031,0.006314,39156759
2017-02-28,0.006311,0.007833,0.005427,0.005536,23637113
2017-03-31,0.005525,0.021776,0.005372,0.020889,220573420
2017-04-30,0.021743,0.071441,0.019664,0.051607,1109643776
2017-05-31,0.05158,0.43517,0.049317,0.24659,5788513336
2017-06-30,0.243946,0.339533,0.240868,0.26293,6264710696
2017-07-31,0.262855,0.263053,0.11977,0.167386,3796232804
2017-08-31,0.168024,0.297662,0.152305,0.25563,9021628896
2017-09-30,0.255803,0.256162,0.150973,0.197529,3693570804
2017-10-31,0.197622,0.291359,0.190455,0.200558,6810508852
2017-11-30,0.200247,0.301084,0.183815,0.250878,7053153144
2017-12-31,0.250352,2.85,0.22134,2.3,60433139712
2018-01-31,2.3,3.84,0.897797,1.16,105603069632
2018-02-28,1.16,1.3,0.58836,0.904583,36939665216
2018-03-31,0.904131,1.08,0.484362,0.512353,17449674064
2018-04-30,0.513854,0.96561,0.465615,0.837938,22228505040
2018-05-31,0.838355,0.927695,0.551635,0.612622,14500476976
2018-06-30,0.612893,0.703623,0.427302,0.466245,8655380016
2018-07-31,0.465944,0.51956,0.427753,0.435225,7476793048
2018-08-31,0.435562,0.459134,0.253983,0.335332,8367297000
2018-09-30,0.335313,0.76938,0.255756,0.581572,22440748000
2018-10-31,0.583511,0.602337,0.378914,0.448382,15459518000
2018-11-30,0.44862,0.560547,0.324953,0.355451,18852021000
