Gmt time,Open,High,Low,Close,Volume
01.03.2012 00:00:00.000,3.9340,3.9340,3.9340,3.9340,0
02.03.2012 00:00:00.000,3.9340,3.9480,3.8890,3.9070,0
03.03.2012 00:00:00.000,3.9070,3.9070,3.9070,3.9070,0
04.03.2012 00:00:00.000,3.9007,3.9080,3.9007,3.9038,4551
05.03.2012 00:00:00.000,3.9048,3.9309,3.8348,3.8727,284900.0096
06.03.2012 00:00:00.000,3.8719,3.8820,3.7297,3.7408,323971.9868
07.03.2012 00:00:00.000,3.7419,3.7849,3.7128,3.7708,280016.005
08.03.2012 00:00:00.000,3.7719,3.8299,3.7640,3.7987,274872.9885
09.03.2012 00:00:00.000,3.7968,3.8760,3.7869,3.8480,274428.9935
10.03.2012 00:00:00.000,3.8480,3.8480,3.8480,3.8480,0
11.03.2012 00:00:00.000,3.8397,3.8619,3.8388,3.8598,6142.0002
12.03.2012 00:00:00.000,3.8589,3.8610,3.8158,3.8477,209901.005
13.03.2012 00:00:00.000,3.8469,3.9170,3.8417,3.9098,253190.9943
14.03.2012 00:00:00.000,3.9090,3.9109,3.8258,3.8359,233432.9933
15.03.2012 00:00:00.000,3.8369,3.9019,3.8247,3.8869,248898.9979
16.03.2012 00:00:00.000,3.8879,3.9390,3.8668,3.8759,262847.9898
17.03.2012 00:00:00.000,3.8759,3.8759,3.8759,3.8759,0
18.03.2012 00:00:00.000,3.8837,3.8850,3.8728,3.8748,4921
19.03.2012 00:00:00.000,3.8758,3.9180,3.8538,3.8998,225255.996
20.03.2012 00:00:00.000,3.8990,3.9099,3.8128,3.8458,236984.998
21.03.2012 00:00:00.000,3.8468,3.8690,3.8268,3.8419,222406.9983
22.03.2012 00:00:00.000,3.8430,3.8559,3.7520,3.7838,259222.0008
23.03.2012 00:00:00.000,3.7848,3.8240,3.7608,3.8040,245828.0027
24.03.2012 00:00:00.000,3.8040,3.8040,3.8040,3.8040,0
25.03.2012 00:00:00.000,3.8048,3.8180,3.8017,3.8099,8584.0002
26.03.2012 00:00:00.000,3.8120,3.8980,3.7939,3.8880,219631.9997
27.03.2012 00:00:00.000,3.8888,3.9029,3.8549,3.8668,216079.995
28.03.2012 00:00:00.000,3.8659,3.8670,3.7819,3.8130,256705.9994
29.03.2012 00:00:00.000,3.8119,3.8169,3.7619,3.8109,265585.9888
30.03.2012 00:00:00.000,3.8088,3.8510,3.8047,3.8228,183001.9951
31.03.2012 00:00:00.000,3.8228,3.8228,3.8228,3.8228,0
01.04.2012 00:00:00.000,3.8513,3.8740,3.8513,3.8598,6327
02.04.2012 00:00:00.000,3.8589,3.9309,3.8278,3.9148,216967.9999
