date,opening,highest,lowest,closing,volume,quantity,amount,avg_price
2013-06-20,262.99998999999997,269.0,260.00002,269.0,7253.13363568,27.11390588,28,267.50604165
2013-06-21,269.0,269.0,250.22,268.0,4652.79623485,17.82967329,25,260.95801977
2013-06-22,267.5,267.5,261.83299999999997,267.25,1451.69342948,5.42732878,9,267.4784389
2013-06-23,267.249,267.25,251.02,251.02,366.06726424,1.3947048,6,262.46935139
2013-06-24,251.02,267.25,250.0101,267.25,10403.58800113,40.29917387,41,258.15884054
2013-06-25,258.0,268.89,250.03,268.4,5986.07380998,23.13572674,50,258.73722824
2013-06-26,252.5,265.0,252.5,264.84,6052.70505003,23.45941913,37,258.00745605
2013-06-27,262.38,262.38,253.021,259.0,9866.59889495,38.68624178,24,255.04154555
2013-06-28,258.0,258.0,246.58,255.0,7745.21876516,30.6190413,37,252.95431981
2013-06-29,250.0,255.0,221.01,230.0,8531.64349013,36.26595006,43,235.25217114
2013-06-30,230.0,249.89,220.0,246.99,2376.9597882,10.65413294,12,223.10213338
2013-07-01,230.01,253.98,202.0,233.9,10653.95434495,46.92062295,41,227.06336095
2013-07-02,233.88,233.88,200.03,230.0,10185.04915877,46.77778166,49,217.73262428
2013-07-03,229.79,268.49,190.01001000000002,190.01001000000002,31459.847130799997,139.36085563,106,225.74378572
2013-07-04,193.0,299.02,185.0,257.6,44875.75154674,190.42103514,107,235.66593635
2013-07-05,225.4677,258.5,200.01,205.0,67280.80049967,309.37184198,208,217.47551448
2013-07-06,208.0,215.0,196.52,196.56,11919.25283116,58.49740848,52,203.75693797
2013-07-07,196.55,215.0,191.00001,202.0,12222.53089084,60.84023839,41,200.89551281
2013-07-08,214.0,214.0,197.1,197.1,16353.73023361,80.16676662,57,203.99638058
2013-07-09,203.0,211.84,196.5,197.0,14807.51302385,73.94754162,46,200.24347936
2013-07-10,200.0,209.0,196.1,208.99999,25898.81644447,126.32888922,59,205.01103591
2013-07-11,208.99999,217.9,208.8,214.97,10152.66880486,47.95191326,43,211.72604208
2013-07-12,213.0,242.0,213.0,224.99,19282.47150822,86.38117325,92,223.22539487
2013-07-13,220.0,229.85,218.00001,218.00001,2513.23615131,11.2418661,23,223.56040616
2013-07-14,218.00001,228.0,217.00002,217.00002,4486.28361619,20.16805284,22,222.44505465
2013-07-15,224.89,234.5,220.0,220.0,17550.34789511,77.20048473,50,227.33468522
2013-07-16,233.99999,233.99999,220.0,227.89997999999997,13715.94989858,60.82619526,73,225.49412864
2013-07-17,227.89997999999997,242.0,220.09,242.0,48887.99787583,216.94920401,74,225.34306175
2013-07-18,239.88998999999998,239.89,216.37,220.1,25851.08881661,117.21165226,85,220.55050260000002
2013-07-19,220.11,227.94,220.11,223.0,15711.06968676,70.18125998,56,223.86417245
2013-07-20,222.0,224.98998999999998,220.11,220.11,10303.47000394,46.39792517,22,222.06747319
2013-07-21,220.2,223.49,218.9,221.99,6594.340441699999,29.79695842,15,221.30918024
2013-07-22,221.99,221.99,212.01,220.0,19910.38902096,91.87607508,45,216.70918140000003
2013-07-23,214.01,220.94,214.01,218.0,3458.50208568,15.81515385,17,218.68279743
2013-07-24,214.11,221.0,213.5,221.0,12682.16563483,57.89715238,19,219.04644898
2013-07-25,214.0,221.0,214.0,221.0,2544.95050181,11.54142761,11,220.50569373
2013-07-26,221.0,221.0,217.48,221.0,7880.38956298,35.67469505,40,220.89577926
2013-07-27,218.0,220.99999,217.335,217.335,2387.34649488,10.94815521,21,218.05924826
2013-07-28,218.0,221.0,218.0,221.0,3391.1672473999997,15.350078400000001,16,220.92181936
2013-07-29,221.0,230.0,221.0,230.0,6199.584716800001,27.47501896,36,225.64441997
2013-07-30,225.8,246.0,225.8,232.0,41406.73493704,173.30116343,75,238.92935349
2013-07-31,240.98998999999998,240.98998999999998,230.0,238.49,10596.18095642,45.04026497,48,235.26018249
2013-08-01,238.49,240.0,236.0,239.46,14457.42736851,60.7442214,37,238.00498278
2013-08-02,236.01,261.0,236.0,261.0,23192.72600255,96.50058902,63,240.33766258
2013-08-03,254.98998999999998,254.98998999999998,231.99,235.00001,5013.80662975,21.20112014,22,236.48781747
2013-08-04,235.00001,239.29997999999998,232.0,234.5,1372.38941042,5.84336135,11,234.86300576
2013-08-05,234.50001,243.49,234.50001,235.7,14615.83775443,61.0325725,35,239.47602331
2013-08-06,237.0,239.99999,226.0,237.9799,14050.69851981,59.95091925,40,234.37002627
2013-08-07,228.10002000000003,237.77999,228.10002000000003,237.77989,3788.20229935,16.32690567,17,232.02206076
2013-08-08,230.11,235.99979,225.0005,235.99979,9379.03776042,40.40215735,23,232.14200368
2013-08-09,225.0005,230.0,220.0,220.0,10386.89593913,46.97647589,32,221.10845359
2013-08-10,227.89999,227.89999,217.9,217.9,2263.57354844,10.37879982,11,218.09588659
2013-08-11,220.0,225.99998,212.50001,212.50001,330.16235786,1.50200595,6,219.81428094
2013-08-12,219.89999,233.9999,219.89999,230.0,10077.63884757,44.01134304,32,228.97821678
2013-08-13,228.0,239.99,228.0,239.9,21486.16893065,92.34619913,35,232.66977020000002
2013-08-14,230.11,249.99,230.11,249.959,8867.03261528,35.96986226,53,246.51283208
2013-08-15,249.0,254.98,244.0,246.0,32771.80811258,131.56281679,55,249.09627897
2013-08-16,246.0,249.49989,246.0,247.97999,10817.85404836,43.77899506,25,247.10147032
2013-08-17,245.00001,249.0,245.00001,249.0,2251.27175733,9.07804636,11,247.99077555
2013-08-18,245.5,249.0,245.5,249.0,24.55498996,0.10002004,2,245.50070126
2013-08-19,249.5,274.79,249.5,274.6899,21415.78023977,81.26569232,49,263.52793692
2013-08-20,273.0,275.0,268.88,275.0,17745.8566489,64.65422569,32,274.47326852
2013-08-21,274.9,284.99998999999997,274.9,284.99998999999997,17287.15215193,61.71744297,35,280.10156157
2013-08-22,284.95,294.99,277.001,288.89,10980.35319749,38.4954862,48,285.23742084
2013-08-23,288.89,294.37,271.1,288.969,30987.62813947,111.25123803,54,278.53737799
2013-08-24,272.0,278.0,272.0,277.99,937.43864606,3.37407822,11,277.83548126
2013-08-25,277.99,277.99,273.0,273.0,82.71412933,0.29786421,2,277.69072803
2013-08-26,276.01,283.96,276.01,283.96,10309.89709155,36.89934398,28,279.40597256
2013-08-27,278.0,306.12,278.0,300.6,18730.93086206,63.05578276,57,297.05333979
2013-08-28,300.6,314.98999,298.1,311.91,21887.37497346,71.811172,52,304.79066646
2013-08-29,314.98899,314.98899,303.1,310.5,10073.28986032,32.50581083,39,309.89197325
2013-08-30,305.0,320.0,304.0,319.95,26659.72285196,85.71821811,55,311.01583117
2013-08-31,315.1,345.0,315.1,341.9,6863.30719583,20.42654725,26,335.99937923
2013-09-01,341.5,347.9,337.00002,347.9,4295.86671914,12.50112204,14,343.63849144
2013-09-02,345.0,348.49,335.0,340.00001000000003,34717.06002809999,101.65275593,52,341.52600892
2013-09-03,340.00001000000003,347.77,340.0,342.0,16838.63147981,49.31286924,39,341.46525519999994
2013-09-04,340.0,341.0,300.0,315.0,30979.13120151,94.32177547,74,328.4409252
2013-09-05,312.0,337.0,310.0,332.99998999999997,22064.81251353,68.56035865,63,321.83047096
