Forex,MAE,EVR,order,n_b,n_c,frequency,N
BCHARTS-mrcdBRL,6.510373895847842,nan,1,1,1,D,59
BCHARTS-mrcdBRL,8.120672578756187,nan,1,1,2,D,59
BCHARTS-mrcdBRL,7.070890157857953,nan,1,1,3,D,59
BCHARTS-mrcdBRL,6.945710681929931,nan,1,1,4,D,59
BCHARTS-mrcdBRL,7.081289483243857,nan,1,1,5,D,59
BCHARTS-mrcdBRL,7.234566531486448,nan,1,1,6,D,59
BCHARTS-mrcdBRL,6.7209038015537885,nan,1,2,1,D,59
BCHARTS-mrcdBRL,7.642775360149831,nan,1,2,2,D,59
BCHARTS-mrcdBRL,7.19811518302532,nan,1,2,3,D,59
BCHARTS-mrcdBRL,6.3807260049639325,nan,1,2,4,D,59
BCHARTS-mrcdBRL,6.981063758077947,nan,1,2,5,D,59
BCHARTS-mrcdBRL,7.604954119796651,nan,1,2,6,D,59
BCHARTS-mrcdBRL,6.679605105502197,nan,1,3,1,D,59
BCHARTS-mrcdBRL,7.433909846561146,nan,1,3,2,D,59
BCHARTS-mrcdBRL,7.628335800406745,nan,1,3,3,D,59
BCHARTS-mrcdBRL,6.694881230483522,nan,1,3,4,D,59
BCHARTS-mrcdBRL,7.254845612637713,nan,1,3,5,D,59
BCHARTS-mrcdBRL,7.338249759038927,nan,1,3,6,D,59
BCHARTS-mrcdBRL,6.652565944461327,nan,1,4,1,D,59
BCHARTS-mrcdBRL,7.452536142687084,nan,1,4,2,D,59
BCHARTS-mrcdBRL,7.327862445464999,nan,1,4,3,D,59
BCHARTS-mrcdBRL,6.333012316865087,nan,1,4,4,D,59
BCHARTS-mrcdBRL,7.113010187075806,nan,1,4,5,D,59
BCHARTS-mrcdBRL,7.001430202892454,nan,1,4,6,D,59
BCHARTS-mrcdBRL,6.850919070287944,nan,1,5,1,D,59
BCHARTS-mrcdBRL,7.78707996077852,nan,1,5,2,D,59
BCHARTS-mrcdBRL,7.153641406882255,nan,1,5,3,D,59
