Forex,MAE,EVR,order,n_b,n_c,frequency,N
BCHARTS-mrcdBRL,5.601282524311298,nan,1,1,1,D,59
BCHARTS-mrcdBRL,7.224082368649245,nan,1,1,2,D,59
BCHARTS-mrcdBRL,6.166171428669938,nan,1,1,3,D,59
BCHARTS-mrcdBRL,6.035195803758781,nan,1,1,4,D,59
BCHARTS-mrcdBRL,6.181470343636632,nan,1,1,5,D,59
BCHARTS-mrcdBRL,6.34095324789239,nan,1,1,6,D,59
BCHARTS-mrcdBRL,5.8115443008047905,nan,1,2,1,D,59
BCHARTS-mrcdBRL,6.736942810140884,nan,1,2,2,D,59
BCHARTS-mrcdBRL,6.29524012681066,nan,1,2,3,D,59
BCHARTS-mrcdBRL,5.471004639478579,nan,1,2,4,D,59
BCHARTS-mrcdBRL,6.08042145609945,nan,1,2,5,D,59
BCHARTS-mrcdBRL,6.712029869185116,nan,1,2,6,D,59
BCHARTS-mrcdBRL,5.769164946878397,nan,1,3,1,D,59
BCHARTS-mrcdBRL,6.527907918914573,nan,1,3,2,D,59
BCHARTS-mrcdBRL,6.7291776460660655,nan,1,3,3,D,59
BCHARTS-mrcdBRL,5.791525890016483,nan,1,3,4,D,59
BCHARTS-mrcdBRL,6.355032346747937,nan,1,3,5,D,59
BCHARTS-mrcdBRL,6.441227575503163,nan,1,3,6,D,59
BCHARTS-mrcdBRL,5.735473051804878,nan,1,4,1,D,59
BCHARTS-mrcdBRL,6.546371408337119,nan,1,4,2,D,59
BCHARTS-mrcdBRL,6.422963583659514,nan,1,4,3,D,59
BCHARTS-mrcdBRL,5.424206709395953,nan,1,4,4,D,59
BCHARTS-mrcdBRL,6.210152199109477,nan,1,4,5,D,59
BCHARTS-mrcdBRL,6.116944610567824,nan,1,4,6,D,59
BCHARTS-mrcdBRL,5.945047532144891,nan,1,5,1,D,59
BCHARTS-mrcdBRL,6.881421724905589,nan,1,5,2,D,59
BCHARTS-mrcdBRL,6.238884233406675,nan,1,5,3,D,59
BCHARTS-mrcdBRL,5.9696834746083205,nan,1,5,4,D,59
BCHARTS-mrcdBRL,6.2636506678583315,nan,1,5,5,D,59
BCHARTS-mrcdBRL,6.637983687436331,nan,1,5,6,D,59
BCHARTS-mrcdBRL,5.7555377102005965,nan,1,6,1,D,59
BCHARTS-mrcdBRL,6.291989421095046,nan,1,6,2,D,59
BCHARTS-mrcdBRL,5.9811190221398745,nan,1,6,3,D,59
BCHARTS-mrcdBRL,5.86687512393307,nan,1,6,4,D,59
BCHARTS-mrcdBRL,6.079868747755878,nan,1,6,5,D,59
BCHARTS-mrcdBRL,6.630979883189418,nan,1,6,6,D,59
BCHARTS-mrcdBRL,6.2559784039827875,nan,2,1,1,D,59
BCHARTS-mrcdBRL,7.1672204087114055,nan,2,1,2,D,59
BCHARTS-mrcdBRL,5.950538067974449,nan,2,1,3,D,59
BCHARTS-mrcdBRL,6.270575319972619,nan,2,1,4,D,59
BCHARTS-mrcdBRL,6.469243201893284,nan,2,1,5,D,59
BCHARTS-mrcdBRL,6.561052387471842,nan,2,1,6,D,59
BCHARTS-mrcdBRL,6.3686535038283445,nan,2,2,1,D,59
BCHARTS-mrcdBRL,6.629531651660749,nan,2,2,2,D,59
BCHARTS-mrcdBRL,6.957229977990992,nan,2,2,3,D,59
BCHARTS-mrcdBRL,5.9903615309821205,nan,2,2,4,D,59
BCHARTS-mrcdBRL,6.585982764104724,nan,2,2,5,D,59
BCHARTS-mrcdBRL,6.756592849319454,nan,2,2,6,D,59
BCHARTS-mrcdBRL,6.4856166832712825,nan,2,3,1,D,59
BCHARTS-mrcdBRL,6.505611364124577,nan,2,3,2,D,59
BCHARTS-mrcdBRL,6.928026110449626,nan,2,3,3,D,59
BCHARTS-mrcdBRL,5.7792166560470335,nan,2,3,4,D,59
BCHARTS-mrcdBRL,7.536144835268474,nan,2,3,5,D,59
BCHARTS-mrcdBRL,6.544427622437753,nan,2,3,6,D,59
BCHARTS-mrcdBRL,6.570153906901129,nan,2,4,1,D,59
BCHARTS-mrcdBRL,6.130844513704816,nan,2,4,2,D,59
BCHARTS-mrcdBRL,6.981741747707654,nan,2,4,3,D,59
BCHARTS-mrcdBRL,5.597576306533639,nan,2,4,4,D,59
BCHARTS-mrcdBRL,6.395900586804586,nan,2,4,5,D,59
BCHARTS-mrcdBRL,6.775650476048977,nan,2,4,6,D,59
BCHARTS-mrcdBRL,6.650039986748105,nan,2,5,1,D,59
BCHARTS-mrcdBRL,6.710036318100918,nan,2,5,2,D,59
BCHARTS-mrcdBRL,6.077726807464653,nan,2,5,3,D,59
BCHARTS-mrcdBRL,6.333206660407228,nan,2,5,4,D,59
BCHARTS-mrcdBRL,6.753474118692362,nan,2,5,5,D,59
BCHARTS-mrcdBRL,7.219740210148996,nan,2,5,6,D,59
BCHARTS-mrcdBRL,5.962933499663028,nan,2,6,1,D,59
BCHARTS-mrcdBRL,6.718289230388092,nan,2,6,2,D,59
BCHARTS-mrcdBRL,5.967620175443838,nan,2,6,3,D,59
BCHARTS-mrcdBRL,5.927498190703653,nan,2,6,4,D,59
BCHARTS-mrcdBRL,6.34593499372311,nan,2,6,5,D,59
BCHARTS-mrcdBRL,7.309889725958652,nan,2,6,6,D,59
BCHARTS-mrcdBRL,6.662983048029743,nan,3,1,1,D,59
BCHARTS-mrcdBRL,7.639973258281156,nan,3,1,2,D,59
BCHARTS-mrcdBRL,6.641433603827546,nan,3,1,3,D,59
BCHARTS-mrcdBRL,6.987468960044111,nan,3,1,4,D,59
BCHARTS-mrcdBRL,6.366448766318008,nan,3,1,5,D,59
BCHARTS-mrcdBRL,6.140234038140356,nan,3,1,6,D,59
BCHARTS-mrcdBRL,6.300562285697114,nan,3,2,1,D,59
BCHARTS-mrcdBRL,6.047010927429312,nan,3,2,2,D,59
BCHARTS-mrcdBRL,6.472969617553602,nan,3,2,3,D,59
BCHARTS-mrcdBRL,6.49591424860107,nan,3,2,4,D,59
