Forex,MAE,EVR,order,n_b,n_c,frequency,N
BCHUSD_,10.604855742337412,50.339081944005706,1,1,1,W,59
BCHUSD_,9.496121505684538,45.07614721400513,1,1,2,W,59
BCHUSD_,9.57730091958731,45.46148929388875,1,1,3,W,59
BCHUSD_,12.342591216894943,58.58775694498,1,1,4,W,59
BCHUSD_,15.804365088401054,75.02008972001829,1,1,5,W,59
BCHUSD_,15.118156203016609,71.76279644311239,1,1,6,W,59
BCHUSD_,11.060129151022126,52.50017172999985,1,2,1,W,59
BCHUSD_,10.000370725027793,47.469715159619284,1,2,2,W,59
BCHUSD_,9.751552829986842,46.288627485074386,1,2,3,W,59
BCHUSD_,12.88377405970664,61.1566412497639,1,2,4,W,59
BCHUSD_,16.35209465874701,77.62005000186582,1,2,5,W,59
BCHUSD_,15.760497735854736,74.81186036658353,1,2,6,W,59
BCHUSD_,11.247729150611955,53.390670571426455,1,3,1,W,59
BCHUSD_,9.996572139742906,47.45168405192926,1,3,2,W,59
BCHUSD_,9.85443576380242,46.77699173649046,1,3,3,W,59
BCHUSD_,12.77618488379949,60.645937429375635,1,3,4,W,59
BCHUSD_,17.38782199465521,82.53643590099526,1,3,5,W,59
BCHUSD_,14.661263623994847,69.59402078658326,1,3,6,W,59
BCHUSD_,10.772976653484788,51.137117535283195,1,4,1,W,59
BCHUSD_,10.28020605592071,48.79803626034005,1,4,2,W,59
BCHUSD_,9.820819301808365,46.61742126461402,1,4,3,W,59
BCHUSD_,13.5171762782336,64.16327207592882,1,4,4,W,59
BCHUSD_,18.25004564977678,86.62923530192879,1,4,5,W,59
BCHUSD_,14.717651520218224,69.8616826009073,1,4,6,W,59
BCHUSD_,10.610921230048753,50.36787357402408,1,5,1,W,59
BCHUSD_,10.04012122427503,47.65840265217359,1,5,2,W,59
BCHUSD_,9.95631868223637,47.26060911935272,1,5,3,W,59
BCHUSD_,12.841033605563291,60.95376105264281,1,5,4,W,59
BCHUSD_,14.914857846746651,70.7977807122054,1,5,5,W,59
BCHUSD_,18.528302896338488,87.95006555898382,1,5,6,W,59
BCHUSD_,10.645893571910362,50.5338801304091,1,6,1,W,59
BCHUSD_,10.06047891355335,47.75503644085218,1,6,2,W,59
BCHUSD_,10.417825152905253,49.45128597617617,1,6,3,W,59
BCHUSD_,13.605005405418046,64.58017898516262,1,6,4,W,59
BCHUSD_,15.080646014960271,71.58474324972809,1,6,5,W,59
BCHUSD_,15.46396509567422,73.40428055260021,1,6,6,W,59
BCHUSD_,9.283753649032333,44.06808041913028,2,1,1,W,59
BCHUSD_,10.94316571307319,51.94497020435737,2,1,2,W,59
BCHUSD_,11.839980130015809,56.20196487924107,2,1,3,W,59
BCHUSD_,12.660037212554792,60.09460818148682,2,1,4,W,59
BCHUSD_,16.28790441043768,77.31535201745578,2,1,5,W,59
BCHUSD_,15.736680508468913,74.69880485784451,2,1,6,W,59
BCHUSD_,107.19781334987026,508.84610234669407,2,2,1,W,59
BCHUSD_,12.577092368424852,59.70088596527404,2,2,2,W,59
BCHUSD_,12.966788217587556,61.55069248418069,2,2,3,W,59
BCHUSD_,15.49740971197579,73.56303530810992,2,2,4,W,59
BCHUSD_,13.809864171996141,65.55260166476144,2,2,5,W,59
BCHUSD_,14.948460633996197,70.95728627286557,2,2,6,W,59
BCHUSD_,83.73644959212282,397.47980549039517,2,3,1,W,59
BCHUSD_,22.6071344277829,107.31144488236905,2,3,2,W,59
BCHUSD_,14.571703181929957,69.16889567959598,2,3,3,W,59
BCHUSD_,14.486594767772475,68.7649034388252,2,3,4,W,59
BCHUSD_,15.149246787194173,71.910377089434,2,3,5,W,59
BCHUSD_,14.22997117714017,67.54676372325775,2,3,6,W,59
BCHUSD_,164.35082071104085,780.1397428074933,2,4,1,W,59
BCHUSD_,10.405184397033645,49.3912828925779,2,4,2,W,59
BCHUSD_,10.4755074689153,49.725092136570936,2,4,3,W,59
BCHUSD_,13.690829567670342,64.9875687357979,2,4,4,W,59
BCHUSD_,17.077952744400108,81.06554992578623,2,4,5,W,59
BCHUSD_,13.134216595994184,62.34544076413283,2,4,6,W,59
BCHUSD_,9.345105526702248,44.35930523844723,2,5,1,W,59
BCHUSD_,11.526672925512136,54.71475963813691,2,5,2,W,59
BCHUSD_,11.750418320749972,55.77683328243043,2,5,3,W,59
BCHUSD_,12.88071888831572,61.1421389758304,2,5,4,W,59
BCHUSD_,12.873430402680972,61.10754202472332,2,5,5,W,59
BCHUSD_,13.728565504437965,65.16669351215818,2,5,6,W,59
BCHUSD_,9.923834574644399,47.10641370230222,2,6,1,W,59
BCHUSD_,9.907722085488357,47.02993101063205,2,6,2,W,59
