Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,25.07555067803533,132.82773522076585,1,1,1,M,119
BTCUSD_,44.59629186270087,236.2310811604853,1,1,2,M,119
BTCUSD_,24.05394928862718,127.41620904549687,1,1,3,M,119
BTCUSD_,32.22010940295653,170.67318742111607,1,1,4,M,119
BTCUSD_,29.304863698964567,155.23083524926506,1,1,5,M,119
BTCUSD_,33.877943092569765,179.45490062021642,1,1,6,M,119
BTCUSD_,25.052177485426018,132.7039250488962,1,2,1,M,119
BTCUSD_,30.328215066153465,160.65163123432956,1,2,2,M,119
BTCUSD_,28.52030580738679,151.0749525240598,1,2,3,M,119
BTCUSD_,31.667502737772214,167.7459738676914,1,2,4,M,119
BTCUSD_,32.21804025698423,170.66222694503838,1,2,5,M,119
BTCUSD_,33.681807429331556,178.41595011905056,1,2,6,M,119
BTCUSD_,26.825121075358677,142.09538706497105,1,3,1,M,119
BTCUSD_,23.857195544849333,126.37398450902396,1,3,2,M,119
BTCUSD_,25.500944391283415,135.08108886525386,1,3,3,M,119
BTCUSD_,27.672146475742153,146.58216652006595,1,3,4,M,119
BTCUSD_,29.39923134121426,155.73071022146775,1,3,5,M,119
BTCUSD_,31.87988733797027,168.87099663597644,1,3,6,M,119
BTCUSD_,29.548324208924026,156.52047026341984,1,4,1,M,119
BTCUSD_,27.603165477756054,146.21676717735932,1,4,2,M,119
BTCUSD_,29.132797647854087,154.31938392479202,1,4,3,M,119
BTCUSD_,30.3988846701625,161.02597529440598,1,4,4,M,119
BTCUSD_,28.060722082442343,148.64049091990583,1,4,5,M,119
BTCUSD_,31.692268390104374,167.8771600399427,1,4,6,M,119
BTCUSD_,27.816332658669555,147.34593535506707,1,5,1,M,119
BTCUSD_,25.768168565120387,136.4966024171894,1,5,2,M,119
BTCUSD_,25.47788579056628,134.95894511854445,1,5,3,M,119
BTCUSD_,26.123431459910915,138.37846600331332,1,5,4,M,119
BTCUSD_,27.85277499000558,147.53897408030508,1,5,5,M,119
BTCUSD_,26.77487605219319,141.82923408117907,1,5,6,M,119
BTCUSD_,24.939979396650916,132.10960039300141,1,6,1,M,119
BTCUSD_,24.757782810631365,131.144486597629,1,6,2,M,119
BTCUSD_,24.51202271939052,129.84267046819244,1,6,3,M,119
BTCUSD_,26.02855428340239,137.87589197646224,1,6,4,M,119
BTCUSD_,26.615490561152814,140.9849529695189,1,6,5,M,119
BTCUSD_,25.62261384007795,135.72558427580105,1,6,6,M,119
BTCUSD_,48.16638735664068,255.14223908760763,2,1,1,M,119
BTCUSD_,41.28604040667654,218.69634345679452,2,1,2,M,119
BTCUSD_,24.63188372816232,130.47758638851877,2,1,3,M,119
BTCUSD_,35.651974087306094,188.85212272982596,2,1,4,M,119
BTCUSD_,32.944567036166426,174.51071298209834,2,1,5,M,119
BTCUSD_,35.387606111049635,187.4517387461633,2,1,6,M,119
BTCUSD_,44.13906683387132,233.80911380888188,2,2,1,M,119
