Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,8.036746916495899,98.61283372658954,1,1,1,W,89
BTCUSD_,8.06775520961154,98.99331300320851,1,1,2,W,89
BTCUSD_,8.23763920580674,101.07783083656469,1,1,3,W,89
BTCUSD_,8.252940920965221,101.26558659251087,1,1,4,W,89
BTCUSD_,8.373855371468055,102.74923622419254,1,1,5,W,89
BTCUSD_,7.177290629980661,88.06709665685081,1,1,6,W,89
BTCUSD_,8.0556306654404,98.84454190580028,1,2,1,W,89
BTCUSD_,8.465426202434129,103.87283252778253,1,2,2,W,89
BTCUSD_,8.519214970852952,104.53283376106214,1,2,3,W,89
BTCUSD_,8.348857967317159,102.44251201292379,1,2,4,W,89
BTCUSD_,11.094004268689671,136.12612287999843,1,2,5,W,89
BTCUSD_,7.529872047803061,92.39335616110868,1,2,6,W,89
BTCUSD_,8.000065585244377,98.16274489622565,1,3,1,W,89
BTCUSD_,8.32862019591301,102.19418964975745,1,3,2,W,89
BTCUSD_,8.355791385656708,102.52758673743348,1,3,3,W,89
BTCUSD_,8.035733049899763,98.6003933375734,1,3,4,W,89
BTCUSD_,11.917606752226186,146.23192509197156,1,3,5,W,89
BTCUSD_,8.75694860519847,107.4498831093268,1,3,6,W,89
BTCUSD_,7.998811476340863,98.1473566758347,1,4,1,W,89
BTCUSD_,8.435059293765933,103.50022319388142,1,4,2,W,89
BTCUSD_,8.697519659107863,106.72067552816601,1,4,3,W,89
BTCUSD_,8.628853676542798,105.8781272693098,1,4,4,W,89
BTCUSD_,8.117345667724383,99.60179995086511,1,4,5,W,89
BTCUSD_,7.178518728029343,88.08216571774484,1,4,6,W,89
BTCUSD_,8.037068791585233,98.61678321199639,1,5,1,W,89
BTCUSD_,8.428021470774237,103.41386739896983,1,5,2,W,89
BTCUSD_,8.67296496754539,106.4193835077233,1,5,3,W,89
BTCUSD_,8.687231290000476,106.59443474409676,1,5,4,W,89
BTCUSD_,8.24438049628997,101.16054810568272,1,5,5,W,89
BTCUSD_,7.431014491706207,91.18034997299712,1,5,6,W,89
BTCUSD_,7.98445912189182,97.97124980603103,1,6,1,W,89
BTCUSD_,8.341948470846287,102.35773081554429,1,6,2,W,89
BTCUSD_,8.888320430489518,109.0618472657685,1,6,3,W,89
BTCUSD_,8.568381273927129,105.13611622352879,1,6,4,W,89
BTCUSD_,7.8391804726200425,96.1886455466813,1,6,5,W,89
BTCUSD_,7.74631738174378,95.04919290059614,1,6,6,W,89
BTCUSD_,10.14927711424962,124.53409158104462,2,1,1,W,89
BTCUSD_,28.60795433067506,351.02653760045985,2,1,2,W,89
BTCUSD_,8.52155196175219,104.56150920615973,2,1,3,W,89
BTCUSD_,8.626680134049076,105.85145737578719,2,1,4,W,89
BTCUSD_,9.802869436492301,120.28358536463256,2,1,5,W,89
BTCUSD_,8.701027402746432,106.76371639330456,2,1,6,W,89
BTCUSD_,8.661119931880707,106.27404204747532,2,2,1,W,89
BTCUSD_,8.780933482246015,107.7441833674807,2,2,2,W,89
BTCUSD_,8.740831687598343,107.2521246217198,2,2,3,W,89
BTCUSD_,8.79321175842979,107.89484079396685,2,2,4,W,89
BTCUSD_,8.13939718059004,99.87237736163033,2,2,5,W,89
BTCUSD_,8.322304069418257,102.11668924588822,2,2,6,W,89
BTCUSD_,8.492668051749694,104.20709662554162,2,3,1,W,89
BTCUSD_,8.706135929368438,106.82639925386968,2,3,2,W,89
BTCUSD_,8.591995571979693,105.42586938754195,2,3,3,W,89
BTCUSD_,8.728033246129119,107.0950846410314,2,3,4,W,89
BTCUSD_,8.018587565698544,98.39001408832438,2,3,5,W,89
BTCUSD_,7.66372115492251,94.03571716637197,2,3,6,W,89
BTCUSD_,8.738123696180333,107.21889691028234,2,4,1,W,89
BTCUSD_,8.880456709472371,108.96535750178893,2,4,2,W,89
BTCUSD_,8.942266081686439,109.72377348878238,2,4,3,W,89
BTCUSD_,9.246395122382978,113.45551057509981,2,4,4,W,89
BTCUSD_,8.360057489259917,102.57993286325463,2,4,5,W,89
BTCUSD_,8.242023019839118,101.13162129789872,2,4,6,W,89
BTCUSD_,8.776326613819966,107.68765597464147,2,5,1,W,89
BTCUSD_,8.878474304741633,108.94103291497262,2,5,2,W,89
BTCUSD_,8.958307590497883,109.9206066922642,2,5,3,W,89
BTCUSD_,9.323324143648543,114.39944832275233,2,5,4,W,89
BTCUSD_,8.435098552451135,103.50070490746981,2,5,5,W,89
BTCUSD_,8.170188033593002,100.25018859533343,2,5,6,W,89
BTCUSD_,8.720348669880575,107.00079302680855,2,6,1,W,89
BTCUSD_,8.927929527733436,109.54786049489701,2,6,2,W,89
BTCUSD_,8.99918560254376,110.42218981374828,2,6,3,W,89
BTCUSD_,9.14811954530907,112.24964541074057,2,6,4,W,89
BTCUSD_,8.83166056480844,108.36661697278632,2,6,5,W,89
BTCUSD_,8.06059161209365,98.90541392435784,2,6,6,W,89
BTCUSD_,8.492896472232593,104.20989940026301,3,1,1,W,89
BTCUSD_,11.886798804895264,145.8539041067187,3,1,2,W,89
BTCUSD_,8.56608426546416,105.10793137262071,3,1,3,W,89
BTCUSD_,8.66686609890539,106.34454891042097,3,1,4,W,89
BTCUSD_,11.136295321378485,136.6450443528601,3,1,5,W,89
BTCUSD_,8.910366732011772,109.33236073208631,3,1,6,W,89
BTCUSD_,8.76075796988311,107.4966249378494,3,2,1,W,89
BTCUSD_,8.769357158988534,107.60213907363686,3,2,2,W,89
BTCUSD_,8.463933475901422,103.85451641121216,3,2,3,W,89
BTCUSD_,9.005830940110512,110.50372971731076,3,2,4,W,89
BTCUSD_,8.656581656611246,106.21835630930254,3,2,5,W,89
BTCUSD_,8.534869755303204,104.72492176284426,3,2,6,W,89
BTCUSD_,8.594798785796732,105.4602655009087,3,3,1,W,89
BTCUSD_,19.576295091431955,240.20588838894733,3,3,2,W,89
BTCUSD_,8.728806873412385,107.10457723541614,3,3,3,W,89
BTCUSD_,8.72979163496909,107.11666049853997,3,3,4,W,89
BTCUSD_,8.70321746005115,106.79058892756325,3,3,5,W,89
BTCUSD_,7.7698455334664045,95.33788902824884,3,3,6,W,89
BTCUSD_,8.83864440452423,108.4523103798106,3,4,1,W,89
BTCUSD_,10.054559437871355,123.37188272107828,3,4,2,W,89
BTCUSD_,8.996682819046418,110.39148005326417,3,4,3,W,89
BTCUSD_,9.237931544470813,113.35166042154187,3,4,4,W,89
BTCUSD_,8.119472416311952,99.62789567181083,3,4,5,W,89
