Forex,MAE,EVR,order,n_b,n_c,frequency,N
EOSUSD_,16.976074368451098,78.88639956464861,1,1,1,W,59
EOSUSD_,17.417179118279716,80.93617649125734,1,1,2,W,59
EOSUSD_,17.705302458785074,82.27506158740462,1,1,3,W,59
EOSUSD_,20.52807543408796,95.392251815074,1,1,4,W,59
EOSUSD_,38.9601721123861,181.04466543083308,1,1,5,W,59
EOSUSD_,19.65927014590168,91.35498621289722,1,1,6,W,59
EOSUSD_,16.809270432875056,78.11127560929756,1,2,1,W,59
EOSUSD_,17.297391930210864,80.37953543422437,1,2,2,W,59
EOSUSD_,17.064043341055623,79.29518403222075,1,2,3,W,59
EOSUSD_,18.07407182772523,83.9887020412589,1,2,4,W,59
EOSUSD_,27.52790474624918,127.91987392715077,1,2,5,W,59
EOSUSD_,19.93825861785365,92.65142233792002,1,2,6,W,59
EOSUSD_,16.95813817141001,78.80305155522407,1,3,1,W,59
EOSUSD_,17.414407010899534,80.92329473981806,1,3,2,W,59
EOSUSD_,17.21797815341112,80.01050624693445,1,3,3,W,59
EOSUSD_,17.900626919525493,83.18271804085147,1,3,4,W,59
EOSUSD_,25.93055239319028,120.49711097065028,1,3,5,W,59
EOSUSD_,22.88816863185336,106.35940776455148,1,3,6,W,59
EOSUSD_,16.90899873695191,78.57470470795492,1,4,1,W,59
EOSUSD_,17.35387242408793,80.64199557140867,1,4,2,W,59
EOSUSD_,17.390583546596154,80.81258909119394,1,4,3,W,59
EOSUSD_,17.977682779854756,83.54079018726175,1,4,4,W,59
EOSUSD_,26.701008969395577,124.07735832340076,1,4,5,W,59
EOSUSD_,23.246114518876805,108.02275240203322,1,4,6,W,59
EOSUSD_,16.986873980008237,78.93658445745416,1,5,1,W,59
EOSUSD_,17.428858862938217,80.99045128906666,1,5,2,W,59
EOSUSD_,17.618002146243793,81.86938432729265,1,5,3,W,59
EOSUSD_,18.220142231034696,84.66747900405629,1,5,4,W,59
EOSUSD_,24.925197978534488,115.82531298383124,1,5,5,W,59
EOSUSD_,23.374756180357007,108.62053945738724,1,5,6,W,59
EOSUSD_,16.64315914011083,77.33937030723598,1,6,1,W,59
EOSUSD_,16.799579473731818,78.06624253165276,1,6,2,W,59
EOSUSD_,17.825383882572613,82.83306993324459,1,6,3,W,59
EOSUSD_,19.587703909373133,91.02242388973603,1,6,4,W,59
EOSUSD_,21.496574680713525,99.89278691459927,1,6,5,W,59
EOSUSD_,20.867685751134164,96.97039259045683,1,6,6,W,59
EOSUSD_,23.437546598856688,108.91232128721963,2,1,1,W,59
EOSUSD_,16.61406393439503,77.20416731662128,2,1,2,W,59
EOSUSD_,16.97662174644267,78.88894318445251,2,1,3,W,59
EOSUSD_,19.30808700611778,89.72306749693979,2,1,4,W,59
EOSUSD_,33.781734986500105,156.98090066598036,2,1,5,W,59
EOSUSD_,20.681578992810163,96.10557003017676,2,1,6,W,59
EOSUSD_,23.995418142066537,111.50470374904403,2,2,1,W,59
EOSUSD_,16.185744894684543,75.21380451693057,2,2,2,W,59
EOSUSD_,17.090827705992158,79.41964873876066,2,2,3,W,59
EOSUSD_,17.82503320132361,82.83144034677316,2,2,4,W,59
EOSUSD_,27.523621209611136,127.89996869020115,2,2,5,W,59
EOSUSD_,21.01588337510862,97.65905456999592,2,2,6,W,59
EOSUSD_,20.35850440181413,94.6042693925062,2,3,1,W,59
EOSUSD_,16.742809023176196,77.80243499000352,2,3,2,W,59
EOSUSD_,17.3796986644434,80.76200795305331,2,3,3,W,59
EOSUSD_,17.843287002060624,82.91626423404298,2,3,4,W,59
EOSUSD_,22.553628500446834,104.80482771831944,2,3,5,W,59
EOSUSD_,23.552406749335628,109.44606681213182,2,3,6,W,59
EOSUSD_,21.144692482577685,98.2576197328733,2,4,1,W,59
EOSUSD_,16.48218949397247,76.5913578075588,2,4,2,W,59
EOSUSD_,17.553086067141983,81.56772473020035,2,4,3,W,59
EOSUSD_,18.08917267152893,84.0588744010287,2,4,4,W,59
EOSUSD_,22.99051291733959,106.8349931103031,2,4,5,W,59
EOSUSD_,23.70966658845685,110.17684014848362,2,4,6,W,59
EOSUSD_,22.08295530684606,102.61764870337811,2,5,1,W,59
EOSUSD_,16.692350261580334,77.56795733972967,2,5,2,W,59
EOSUSD_,17.577189277467422,81.67973033522156,2,5,3,W,59
EOSUSD_,18.147798081019186,84.33130178190095,2,5,4,W,59
EOSUSD_,22.73997277482148,105.67075399584695,2,5,5,W,59
EOSUSD_,23.331173482164782,108.41801429938683,2,5,6,W,59
EOSUSD_,35.65751823787975,165.6975087494139,2,6,1,W,59
EOSUSD_,16.00159925120142,74.35809509350251,2,6,2,W,59
EOSUSD_,18.15406718384929,84.36043377908908,2,6,3,W,59
EOSUSD_,19.623614891745564,91.18929922514664,2,6,4,W,59
EOSUSD_,20.844215758650396,96.86132949585266,2,6,5,W,59
EOSUSD_,21.893953866367838,101.73937479692256,2,6,6,W,59
EOSUSD_,16.864528703715347,78.3680561781233,3,1,1,W,59
EOSUSD_,16.859798634776098,78.34607594286918,3,1,2,W,59
EOSUSD_,16.873528338936687,78.40987673124988,3,1,3,W,59
EOSUSD_,19.016195135362455,88.36667035550936,3,1,4,W,59
EOSUSD_,35.38339618868729,164.42368648445824,3,1,5,W,59
EOSUSD_,20.356447374900284,94.59471056026273,3,1,6,W,59
EOSUSD_,16.13980149241483,75.00030936427362,3,2,1,W,59
EOSUSD_,15.859492807348374,73.69773831918629,3,2,2,W,59
EOSUSD_,16.790247679451323,78.0228784631238,3,2,3,W,59
EOSUSD_,17.59434592053729,81.75945582245865,3,2,4,W,59
EOSUSD_,22.526614201671176,104.6792945284357,3,2,5,W,59
EOSUSD_,21.036737542559923,97.75596214417625,3,2,6,W,59
EOSUSD_,16.860059899356113,78.34729001754886,3,3,1,W,59
EOSUSD_,23.788257668948546,110.54204633475051,3,3,2,W,59
EOSUSD_,17.31579415708716,80.46504904536526,3,3,3,W,59
