Forex,MAE,EVR,order,n_b,n_c,frequency,N
ETHUSD_,9.652246825634544,62.539351501610675,1,1,1,W,59
ETHUSD_,9.725548486695926,63.01429152641348,1,1,2,W,59
ETHUSD_,10.507157571509838,68.07853472025825,1,1,3,W,59
ETHUSD_,16.24097663673212,105.2294004662758,1,1,4,W,59
ETHUSD_,18.092859923450803,117.22822124865296,1,1,5,W,59
ETHUSD_,19.941883046051252,129.20851030340506,1,1,6,W,59
ETHUSD_,9.571297639506135,62.014861225252545,1,2,1,W,59
ETHUSD_,9.406881483037631,60.94956731102946,1,2,2,W,59
ETHUSD_,10.182038018598183,65.97200280422928,1,2,3,W,59
ETHUSD_,16.441224692026474,106.52685832699977,1,2,4,W,59
ETHUSD_,18.08823830963561,117.19827664237482,1,2,5,W,59
ETHUSD_,20.24364503605356,131.16370265431547,1,2,6,W,59
ETHUSD_,11.088871395214559,71.8476058962457,1,3,1,W,59
ETHUSD_,9.82888389719905,63.6838278195442,1,3,2,W,59
ETHUSD_,12.85410821022848,83.28502224624478,1,3,3,W,59
ETHUSD_,24.49737809787746,158.7247163698903,1,3,4,W,59
ETHUSD_,26.71752483707354,173.10960931926957,1,3,5,W,59
ETHUSD_,25.835086277178437,167.39206642249152,1,3,6,W,59
ETHUSD_,10.698505153610634,69.31832416122069,1,4,1,W,59
ETHUSD_,10.594994850551934,68.64765469493291,1,4,2,W,59
ETHUSD_,13.65301278383694,88.46132729186915,1,4,3,W,59
ETHUSD_,34.31427067979021,222.3308494210346,1,4,4,W,59
ETHUSD_,35.30645365876627,228.7594542005254,1,4,5,W,59
ETHUSD_,36.28463404213276,235.0973326170686,1,4,6,W,59
ETHUSD_,10.164332404630718,65.85728364759495,1,5,1,W,59
ETHUSD_,9.873667320584763,63.97399096053707,1,5,2,W,59
ETHUSD_,11.328522642111645,73.40036701375999,1,5,3,W,59
ETHUSD_,22.20217621946559,143.85352216669807,1,5,4,W,59
ETHUSD_,22.053761585627683,142.89190616979658,1,5,5,W,59
ETHUSD_,22.917876535489864,148.49072575693194,1,5,6,W,59
ETHUSD_,10.431101164162703,67.58574599666285,1,6,1,W,59
ETHUSD_,10.160004068445472,65.82923926135035,1,6,2,W,59
ETHUSD_,11.706803482627597,75.85134437464991,1,6,3,W,59
ETHUSD_,20.23348914889749,131.09790008957197,1,6,4,W,59
ETHUSD_,22.507849168200803,145.8340546096434,1,6,5,W,59
ETHUSD_,24.94679349304664,161.63659252437034,1,6,6,W,59
ETHUSD_,48.91634220488745,316.9413686355266,2,1,1,W,59
ETHUSD_,14.992453204034122,97.13990097190657,2,1,2,W,59
