Forex,MAE,EVR,order,n_b,n_c,frequency,N
XAUUSD_,0.5137663445373564,90.99352294059564,1,1,1,D,59
XAUUSD_,0.29861253174152963,52.887478026300606,1,1,2,D,59
XAUUSD_,0.30063905400107077,53.24639682601147,1,1,3,D,59
XAUUSD_,0.29708515259436113,52.61696281847395,1,1,4,D,59
XAUUSD_,0.3176129716071055,56.25265945395245,1,1,5,D,59
XAUUSD_,0.30372404652300583,53.79278204723309,1,1,6,D,59
XAUUSD_,0.5297186727584005,93.81885114547175,1,2,1,D,59
XAUUSD_,0.3010193124770975,53.31374467533946,1,2,2,D,59
XAUUSD_,0.30241511702530105,53.560956612298696,1,2,3,D,59
XAUUSD_,0.2971304889140588,52.62499236632253,1,2,4,D,59
XAUUSD_,0.33212691948348166,58.82323509225531,1,2,5,D,59
XAUUSD_,0.32083132519830115,56.82266434906701,1,2,6,D,59
XAUUSD_,0.5364052499210831,95.00311558574862,1,3,1,D,59
XAUUSD_,0.30091149062937445,53.29464827114988,1,3,2,D,59
XAUUSD_,0.30453030376862944,53.93557884183772,1,3,3,D,59
XAUUSD_,0.2939622454318858,52.06386250828151,1,3,4,D,59
XAUUSD_,0.3272050652768183,57.95152199071382,1,3,5,D,59
XAUUSD_,0.3163058591034404,56.02115582812562,1,3,6,D,59
XAUUSD_,0.40145436646539795,71.10186856919618,1,4,1,D,59
XAUUSD_,0.3070948629291566,54.38978974001572,1,4,2,D,59
XAUUSD_,0.30403840492845,53.84845828815757,1,4,3,D,59
XAUUSD_,0.30763651592805813,54.48572228815834,1,4,4,D,59
XAUUSD_,0.3200820115924154,56.689952883024475,1,4,5,D,59
XAUUSD_,0.32866262520676454,58.20967146728626,1,4,6,D,59
XAUUSD_,0.399192339736581,70.70123940531784,1,5,1,D,59
XAUUSD_,0.3075947163897754,54.47831914218338,1,5,2,D,59
XAUUSD_,0.30410474987663333,53.86020868914957,1,5,3,D,59
XAUUSD_,0.30424957766912847,53.88585924255573,1,5,4,D,59
XAUUSD_,0.3239917406822606,57.38240778477306,1,5,5,D,59
XAUUSD_,0.3326121081462949,58.909167201646326,1,5,6,D,59
XAUUSD_,0.38276069643879307,67.79101936605981,1,6,1,D,59
XAUUSD_,0.31645316641621407,56.04724553113304,1,6,2,D,59
XAUUSD_,0.3097222480376566,54.85512778655389,1,6,3,D,59
XAUUSD_,0.3371231899202231,59.7081281052697,1,6,4,D,59
XAUUSD_,0.3243533240613269,57.44644807438688,1,6,5,D,59
XAUUSD_,0.33849516573129496,59.951119717636075,1,6,6,D,59
XAUUSD_,0.5352186755614771,94.79296055640593,2,1,1,D,59
XAUUSD_,0.29519205790944314,52.281675471468134,2,1,2,D,59
XAUUSD_,0.2984403392490362,52.85698089140165,2,1,3,D,59
XAUUSD_,0.2897613123984333,51.31983226882394,2,1,4,D,59
XAUUSD_,0.2951393006551758,52.272331596616276,2,1,5,D,59
XAUUSD_,0.28955996730578953,51.28417189616377,2,1,6,D,59
XAUUSD_,0.6133403191436245,108.62914045225021,2,2,1,D,59
XAUUSD_,0.2958160416921568,52.39218968332848,2,2,2,D,59
XAUUSD_,0.3036822820521679,53.785385112078224,2,2,3,D,59
XAUUSD_,0.29661175669539347,52.5331193338808,2,2,4,D,59
