Forex,MAE,EVR,order,n_b,n_c,frequency,N
XAUUSD_,1.9605714947140986,50.44841982117984,1,1,1,M,179
XAUUSD_,2.260765405730863,58.172855523507565,1,1,2,M,179
XAUUSD_,1.9597375872887104,50.426962143150035,1,1,3,M,179
XAUUSD_,1.975423700198468,50.83058915270689,1,1,4,M,179
XAUUSD_,1.951125503695403,50.20536042659869,1,1,5,M,179
XAUUSD_,2.0037386237853587,51.5591742393346,1,1,6,M,179
XAUUSD_,1.9551768401267677,50.30960733709258,1,2,1,M,179
XAUUSD_,2.2645271530100564,58.26965087451291,1,2,2,M,179
XAUUSD_,1.9569361000375043,50.35487571051874,1,2,3,M,179
XAUUSD_,1.9691558515749372,50.66930808767662,1,2,4,M,179
XAUUSD_,1.9559292934441703,50.32896907980613,1,2,5,M,179
XAUUSD_,1.9991664487817593,51.44152537791875,1,2,6,M,179
XAUUSD_,1.9561305421748163,50.33414750889146,1,3,1,M,179
XAUUSD_,2.260321216281322,58.161425868485544,1,3,2,M,179
XAUUSD_,1.9581392207144077,50.38583379450987,1,3,3,M,179
XAUUSD_,1.9720287589932226,50.74323226740473,1,3,4,M,179
XAUUSD_,1.958561672352567,50.3967041033221,1,3,5,M,179
XAUUSD_,2.0009976132754965,51.48864396318369,1,3,6,M,179
XAUUSD_,1.9463012760342415,50.0812258755153,1,4,1,M,179
XAUUSD_,2.216585547468448,57.03604207739168,1,4,2,M,179
XAUUSD_,1.9610737536774663,50.461343691138794,1,4,3,M,179
XAUUSD_,1.9879823629675304,51.15374221979699,1,4,4,M,179
XAUUSD_,1.9493750412143802,50.16031842412036,1,4,5,M,179
XAUUSD_,1.9913713644420563,51.24094626699569,1,4,6,M,179
XAUUSD_,1.9450325658963836,50.048580077165894,1,5,1,M,179
XAUUSD_,2.229086563445686,57.35771180681051,1,5,2,M,179
XAUUSD_,1.9604967828687183,50.446497374305785,1,5,3,M,179
XAUUSD_,1.9874175296485088,51.13920821862243,1,5,4,M,179
XAUUSD_,1.9477146513892205,50.117594125010484,1,5,5,M,179
XAUUSD_,1.9905016656257752,51.21856762325839,1,5,6,M,179
XAUUSD_,1.9532620347885785,50.260336548530546,1,6,1,M,179
XAUUSD_,2.2654707347722876,58.293930636309405,1,6,2,M,179
XAUUSD_,1.9542746828951474,50.28639349006471,1,6,3,M,179
XAUUSD_,1.9715497154635158,50.73090576507394,1,6,4,M,179
XAUUSD_,1.9335560352290397,49.753271878124046,1,6,5,M,179
XAUUSD_,2.007365379676884,51.65249606121048,1,6,6,M,179
XAUUSD_,1.9471767934858866,50.10375424139252,2,1,1,M,179
XAUUSD_,1.944729764878307,50.04078855672229,2,1,2,M,179
XAUUSD_,1.968834162945054,50.6610305608964,2,1,3,M,179
XAUUSD_,1.9840709531927445,51.05309583024014,2,1,4,M,179
XAUUSD_,1.904091463158023,48.995104626535586,2,1,5,M,179
XAUUSD_,1.89043305066465,48.643653363771506,2,1,6,M,179
XAUUSD_,1.9472147545627723,50.10473103634683,2,2,1,M,179
XAUUSD_,1.8695752278705255,48.10695056884119,2,2,2,M,179
XAUUSD_,1.9672733536934741,50.620868618015564,2,2,3,M,179
XAUUSD_,1.9763782576909594,50.85515133636329,2,2,4,M,179
XAUUSD_,1.89332297088008,48.71801530806724,2,2,5,M,179
XAUUSD_,1.885926670874935,48.52769751104277,2,2,6,M,179
XAUUSD_,1.947679788842379,50.11669705984155,2,3,1,M,179
XAUUSD_,1.857916732116341,47.80696013754284,2,3,2,M,179
XAUUSD_,1.9691686225384677,50.669636703557984,2,3,3,M,179
XAUUSD_,1.9807350579317549,50.967258284881744,2,3,4,M,179
XAUUSD_,1.8911186572999064,48.66129504195608,2,3,5,M,179
XAUUSD_,1.884695778677721,48.496024824539326,2,3,6,M,179
XAUUSD_,1.9455572042100906,50.06207980108594,2,4,1,M,179
XAUUSD_,1.942353518357508,49.979644200394006,2,4,2,M,179
XAUUSD_,1.9773350057743773,50.87976988718151,2,4,3,M,179
XAUUSD_,2.003179602391544,51.544789787637626,2,4,4,M,179
XAUUSD_,1.8758499438637177,48.26840834150425,2,4,5,M,179
XAUUSD_,1.8820837087774818,48.42881238200162,2,4,6,M,179
XAUUSD_,1.9445294647473144,50.035634536516554,2,5,1,M,179
XAUUSD_,1.9400580345443261,49.92057798862242,2,5,2,M,179
XAUUSD_,1.9765672232231888,50.86001370048892,2,5,3,M,179
XAUUSD_,2.0019798003916036,51.51391709813945,2,5,4,M,179
XAUUSD_,1.8732119403686631,48.20052858901011,2,5,5,M,179
XAUUSD_,1.8816941678177266,48.4187889138811,2,5,6,M,179
XAUUSD_,1.9533233707914412,50.26191481508747,2,6,1,M,179
XAUUSD_,1.965431004984155,50.57346224625339,2,6,2,M,179
XAUUSD_,1.9696039320770853,50.680837865268,2,6,3,M,179
XAUUSD_,1.9835820019409172,51.04051438748695,2,6,4,M,179
XAUUSD_,1.860086086373632,47.86278084829362,2,6,5,M,179
XAUUSD_,1.8818400543720613,48.42254279184943,2,6,6,M,179
XAUUSD_,1.9490569017041108,50.15213222146514,3,1,1,M,179
XAUUSD_,10.874863798501522,279.8264158609314,3,1,2,M,179
XAUUSD_,1.9993556639109331,51.446394164544905,3,1,3,M,179
XAUUSD_,2.1162125767185045,54.453296290898145,3,1,4,M,179
XAUUSD_,2.038921328550549,52.46447754769357,3,1,5,M,179
XAUUSD_,1.8942233736487137,48.74118401015367,3,1,6,M,179
XAUUSD_,1.9438336215415895,50.017729456152594,3,2,1,M,179
XAUUSD_,7.686166275259574,197.7764871697442,3,2,2,M,179
XAUUSD_,2.0219647585330836,52.028159787655405,3,2,3,M,179
XAUUSD_,2.146646003924371,55.23639362574069,3,2,4,M,179
XAUUSD_,2.0850911187163397,53.65249490060282,3,2,5,M,179
XAUUSD_,1.8885379065797219,48.59488848849109,3,2,6,M,179
XAUUSD_,1.9451664173792784,50.05202427485058,3,3,1,M,179
XAUUSD_,7.741529165800646,199.201056664945,3,3,2,M,179
