Forex,MAE,EVR,order,n_b,n_c,frequency,N
XAUUSD_,0.9263178385129446,50.45860014760636,1,1,1,W,59
XAUUSD_,0.9398328317965703,51.194791996389945,1,1,2,W,59
XAUUSD_,0.9238624755871045,50.3248510488185,1,1,3,W,59
XAUUSD_,1.1095023895339233,60.437071498244386,1,1,4,W,59
XAUUSD_,1.0227274130451927,55.71024485255239,1,1,5,W,59
XAUUSD_,1.0934065953845626,59.5602976661172,1,1,6,W,59
XAUUSD_,1.1648597073589895,63.45250815426636,1,2,1,W,59
XAUUSD_,0.9486620513308802,51.6757392906927,1,2,2,W,59
XAUUSD_,0.9256907741139431,50.42444255022401,1,2,3,W,59
XAUUSD_,1.06609379149494,58.0725082777698,1,2,4,W,59
XAUUSD_,1.1138331555142955,60.672977987195594,1,2,5,W,59
XAUUSD_,1.0659686142109586,58.06568959172342,1,2,6,W,59
XAUUSD_,1.0804501497567116,58.854531154787296,1,3,1,W,59
XAUUSD_,0.9491107446624419,51.70018061791848,1,3,2,W,59
XAUUSD_,0.9294002860658027,50.62650794564178,1,3,3,W,59
XAUUSD_,1.0754317022492044,58.58116511819064,1,3,4,W,59
XAUUSD_,1.0873127963346938,59.228354830890346,1,3,5,W,59
XAUUSD_,1.0691492586680653,58.23894639430264,1,3,6,W,59
XAUUSD_,1.341433169946271,73.07085876238267,1,4,1,W,59
XAUUSD_,0.9236409191106051,50.312782373043305,1,4,2,W,59
XAUUSD_,0.9054886717900023,49.32398894680297,1,4,3,W,59
XAUUSD_,1.0594322815884165,57.70964096508565,1,4,4,W,59
XAUUSD_,0.9972756841894665,54.32383237510508,1,4,5,W,59
XAUUSD_,1.0051924253057574,54.75507493338325,1,4,6,W,59
XAUUSD_,1.3617468010829492,74.1773875891589,1,5,1,W,59
XAUUSD_,0.8712484930612489,47.458849989498304,1,5,2,W,59
XAUUSD_,0.8633829522357906,47.03039642533764,1,5,3,W,59
XAUUSD_,0.9539188540486842,51.96208906758822,1,5,4,W,59
XAUUSD_,0.8491898614156449,46.257267090268286,1,5,5,W,59
XAUUSD_,0.9616968749799049,52.38577522777079,1,5,6,W,59
XAUUSD_,1.7430944901566006,94.95024735732603,1,6,1,W,59
XAUUSD_,0.8632836740089395,47.02498851873823,1,6,2,W,59
XAUUSD_,0.8488894628888429,46.24090371204256,1,6,3,W,59
XAUUSD_,0.9659695066697594,52.61851501216539,1,6,4,W,59
XAUUSD_,0.8694512596858462,47.360950676227,1,6,5,W,59
XAUUSD_,0.9601501436663581,52.30152132091381,1,6,6,W,59
XAUUSD_,0.9264242400852183,50.4643960787298,2,1,1,W,59
XAUUSD_,0.9414805642011005,51.284547658100955,2,1,2,W,59
XAUUSD_,0.9352033068284781,50.94261143856615,2,1,3,W,59
XAUUSD_,1.0780054078386254,58.72136060599722,2,1,4,W,59
XAUUSD_,1.154081283203924,62.86538333376756,2,1,5,W,59
XAUUSD_,1.1251734384165297,61.29070850768646,2,1,6,W,59
XAUUSD_,1.0830740768594862,58.997462320517535,2,2,1,W,59
XAUUSD_,0.8708296889723841,47.436036796033164,2,2,2,W,59
XAUUSD_,0.9371095749139516,51.0464501158537,2,2,3,W,59
XAUUSD_,0.971543979435053,52.92216898556745,2,2,4,W,59
XAUUSD_,1.140823974484257,62.143228138318726,2,2,5,W,59
XAUUSD_,1.0547161277954569,57.452741541821176,2,2,6,W,59
XAUUSD_,1.5201226740613853,82.80447487539314,2,3,1,W,59
XAUUSD_,0.8201228879480164,44.6739241698095,2,3,2,W,59
XAUUSD_,0.9270220564688395,50.49696047143464,2,3,3,W,59
XAUUSD_,1.052737757803261,57.344975312747486,2,3,4,W,59
XAUUSD_,1.1070713819239755,60.30464908787273,2,3,5,W,59
XAUUSD_,1.1175104539878722,60.87328864255281,2,3,6,W,59
XAUUSD_,2.961971606482285,161.34520434150562,2,4,1,W,59
XAUUSD_,0.8166376422882866,44.48407505987246,2,4,2,W,59
XAUUSD_,0.9230866554000173,50.282590391645456,2,4,3,W,59
XAUUSD_,0.9972211850009741,54.320863682669085,2,4,4,W,59
XAUUSD_,0.9850088906787159,53.655632753854256,2,4,5,W,59
XAUUSD_,0.9583845247696875,52.205344118860594,2,4,6,W,59
XAUUSD_,7.597259734598893,413.8396943548427,2,5,1,W,59
XAUUSD_,0.7600503766417072,41.40164040084562,2,5,2,W,59
XAUUSD_,0.9027308398068142,49.173763683369245,2,5,3,W,59
XAUUSD_,0.9132141973046184,49.744815564476596,2,5,4,W,59
XAUUSD_,0.8577473285482622,46.72341142471639,2,5,5,W,59
XAUUSD_,0.9336551286644158,50.8582787185323,2,5,6,W,59
XAUUSD_,7.193622678077655,391.85268299332364,2,6,1,W,59
XAUUSD_,0.8113983858765899,44.19868106943287,2,6,2,W,59
XAUUSD_,0.910546799915442,49.59951647522307,2,6,3,W,59
