Forex,MAE,EVR,order,n_b,n_c,frequency,N
bitmex-XBTUSD_,4.906508229739531,178.14689923431138,1,1,1,D,59
bitmex-XBTUSD_,3.396705411993574,123.32854821099171,1,1,2,D,59
bitmex-XBTUSD_,3.3738207325528933,122.49764474738032,1,1,3,D,59
bitmex-XBTUSD_,3.4127894637312246,123.91253254567992,1,1,4,D,59
bitmex-XBTUSD_,3.077670488770251,111.7449372888291,1,1,5,D,59
bitmex-XBTUSD_,2.8138841550751277,102.16730790193857,1,1,6,D,59
bitmex-XBTUSD_,5.146036967208068,186.8437769036258,1,2,1,D,59
bitmex-XBTUSD_,3.447015644203743,125.15522646125434,1,2,2,D,59
bitmex-XBTUSD_,3.745666721536356,135.9987348971132,1,2,3,D,59
bitmex-XBTUSD_,3.8353237941285574,139.25402944241026,1,2,4,D,59
bitmex-XBTUSD_,3.042875056561657,110.48157481897591,1,2,5,D,59
bitmex-XBTUSD_,3.2721637623796394,118.80665450055838,1,2,6,D,59
bitmex-XBTUSD_,4.998871268345732,181.5004427648859,1,3,1,D,59
bitmex-XBTUSD_,3.4070862649755456,123.70545917976098,1,3,2,D,59
bitmex-XBTUSD_,3.633248433318267,131.9170196475813,1,3,3,D,59
bitmex-XBTUSD_,3.880657365143857,140.900013659586,1,3,4,D,59
bitmex-XBTUSD_,3.1862137417375145,115.68595665403049,1,3,5,D,59
bitmex-XBTUSD_,3.5233258817186344,127.92592031451491,1,3,6,D,59
bitmex-XBTUSD_,5.068228238372984,184.01867540041906,1,4,1,D,59
bitmex-XBTUSD_,3.3443653698205256,121.42817104207036,1,4,2,D,59
bitmex-XBTUSD_,3.485598060406121,126.55608782530145,1,4,3,D,59
bitmex-XBTUSD_,3.5285015732985325,128.1138407995481,1,4,4,D,59
bitmex-XBTUSD_,3.0726378215356243,111.56220977248812,1,4,5,D,59
bitmex-XBTUSD_,3.174527000935879,115.26163113810712,1,4,6,D,59
bitmex-XBTUSD_,5.6505596815927674,205.16213141409685,1,5,1,D,59
bitmex-XBTUSD_,3.3402008958608778,121.27696613460552,1,5,2,D,59
bitmex-XBTUSD_,3.4745303805842798,126.15423935187418,1,5,3,D,59
bitmex-XBTUSD_,3.5925063886478625,130.43774587759034,1,5,4,D,59
bitmex-XBTUSD_,3.1665284476284907,114.97121738491401,1,5,5,D,59
