Forex,MAE,EVR,order,n_b,n_c,frequency,N
bitmex-XBTUSD_,5.675238879991795,208.86942798998209,1,1,1,D,59
bitmex-XBTUSD_,8.818592547547107,324.55627331858597,1,1,2,D,59
bitmex-XBTUSD_,6.19083905863322,227.84538947136426,1,1,3,D,59
bitmex-XBTUSD_,5.890187461316958,216.78031741296786,1,1,4,D,59
bitmex-XBTUSD_,6.9122722417178215,254.39675399896464,1,1,5,D,59
bitmex-XBTUSD_,6.560241077063956,241.44072702798954,1,1,6,D,59
bitmex-XBTUSD_,7.642361242932551,281.26668410941636,1,2,1,D,59
bitmex-XBTUSD_,6.616323938801806,243.50478027736446,1,2,2,D,59
bitmex-XBTUSD_,5.803416360991062,213.58682539009862,1,2,3,D,59
bitmex-XBTUSD_,5.680330672851575,209.05682448280902,1,2,4,D,59
bitmex-XBTUSD_,7.216246064470919,265.5840960342411,1,2,5,D,59
bitmex-XBTUSD_,6.141315400640619,226.02273877143443,1,2,6,D,59
bitmex-XBTUSD_,6.722983444755292,247.43023794871294,1,3,1,D,59
bitmex-XBTUSD_,5.998617645257607,220.77094247306482,1,3,2,D,59
bitmex-XBTUSD_,5.832559879232684,214.65941283768672,1,3,3,D,59
bitmex-XBTUSD_,5.735279341638406,211.0791353072536,1,3,4,D,59
bitmex-XBTUSD_,6.8268310083249375,251.2522059151039,1,3,5,D,59
bitmex-XBTUSD_,6.533291632042331,240.44888945333534,1,3,6,D,59
bitmex-XBTUSD_,5.841160010247175,214.97592893218427,1,4,1,D,59
bitmex-XBTUSD_,6.20858238260369,228.49840831457433,1,4,2,D,59
bitmex-XBTUSD_,5.8091749028350685,213.7987606700838,1,4,3,D,59
bitmex-XBTUSD_,5.899106136418927,217.10855708822524,1,4,4,D,59
bitmex-XBTUSD_,7.1673779836329,263.7855729575138,1,4,5,D,59
bitmex-XBTUSD_,6.756223377410444,248.65358834275258,1,4,6,D,59
bitmex-XBTUSD_,6.915320955993667,254.50895777053552,1,5,1,D,59
bitmex-XBTUSD_,6.2738368502073945,230.90001001106472,1,5,2,D,59
bitmex-XBTUSD_,5.858932321069427,215.6300145969465,1,5,3,D,59
bitmex-XBTUSD_,6.11026623377134,224.8800165247259,1,5,4,D,59
bitmex-XBTUSD_,7.699780669875295,283.37992781856235,1,5,5,D,59
bitmex-XBTUSD_,6.923449056734092,254.80810143447584,1,5,6,D,59
bitmex-XBTUSD_,5.499865226340549,202.4150398140429,1,6,1,D,59
bitmex-XBTUSD_,6.58698659457882,242.42505932884134,1,6,2,D,59
bitmex-XBTUSD_,6.289271271318442,231.4680528330482,1,6,3,D,59
bitmex-XBTUSD_,6.210504445069891,228.56914720263978,1,6,4,D,59
bitmex-XBTUSD_,7.442914811795838,273.9263301847497,1,6,5,D,59
bitmex-XBTUSD_,7.468733626572199,274.8765564550007,1,6,6,D,59
bitmex-XBTUSD_,9.843427882780063,362.2739403244087,2,1,1,D,59
bitmex-XBTUSD_,8.558611756850802,314.9880348374599,2,1,2,D,59
bitmex-XBTUSD_,6.522377179681345,240.04719791758342,2,1,3,D,59
bitmex-XBTUSD_,6.145264979793105,226.16809764633382,2,1,4,D,59
bitmex-XBTUSD_,7.2223775986373155,265.8097587880243,2,1,5,D,59
bitmex-XBTUSD_,6.815759901138917,250.8447489121375,2,1,6,D,59
bitmex-XBTUSD_,39.671867003983586,1460.0689668993589,2,2,1,D,59
bitmex-XBTUSD_,6.753414008622496,248.55019335548246,2,2,2,D,59
bitmex-XBTUSD_,6.412398367887632,235.9995777211268,2,2,3,D,59
bitmex-XBTUSD_,6.1725201971149275,227.17118875353313,2,2,4,D,59
bitmex-XBTUSD_,7.2106665385754125,265.378749192127,2,2,5,D,59
bitmex-XBTUSD_,6.507063428546455,239.4835961895219,2,2,6,D,59
bitmex-XBTUSD_,7.135997463293524,262.6306556981856,2,3,1,D,59
bitmex-XBTUSD_,7.229048996181032,266.0552904772299,2,3,2,D,59
bitmex-XBTUSD_,6.056973468868093,222.91864898465826,2,3,3,D,59
bitmex-XBTUSD_,6.716153869491844,247.1788847442302,2,3,4,D,59
bitmex-XBTUSD_,7.183889909415513,264.3932718696048,2,3,5,D,59
bitmex-XBTUSD_,6.202179963643874,228.26277601535895,2,3,6,D,59
bitmex-XBTUSD_,23.66083731568197,870.8048525170909,2,4,1,D,59
bitmex-XBTUSD_,8.303482882350178,305.5983645156442,2,4,2,D,59
bitmex-XBTUSD_,6.135226389929069,225.79864103542013,2,4,3,D,59
bitmex-XBTUSD_,7.086319783892729,260.802336450357,2,4,4,D,59
bitmex-XBTUSD_,7.59173159848562,279.4033290862033,2,4,5,D,59
bitmex-XBTUSD_,6.6462127238529405,244.6047962536004,2,4,6,D,59
bitmex-XBTUSD_,24.270990170754487,893.2606963186182,2,5,1,D,59
bitmex-XBTUSD_,8.328280412135742,306.51100378447495,2,5,2,D,59
bitmex-XBTUSD_,6.163895391489422,226.85376454362455,2,5,3,D,59
bitmex-XBTUSD_,7.145111992877175,262.9661035305661,2,5,4,D,59
bitmex-XBTUSD_,8.279812401155557,304.72720473331356,2,5,5,D,59
bitmex-XBTUSD_,6.837048703776728,251.62825426293915,2,5,6,D,59
bitmex-XBTUSD_,13.351606922491174,491.38768598439117,2,6,1,D,59
bitmex-XBTUSD_,7.271179961111298,267.6058631899795,2,6,2,D,59
bitmex-XBTUSD_,6.40235383651764,235.62990244118848,2,6,3,D,59
bitmex-XBTUSD_,6.390272173957322,235.18525332570576,2,6,4,D,59
bitmex-XBTUSD_,7.183962568532869,264.39594598933814,2,6,5,D,59
bitmex-XBTUSD_,7.652247231721424,281.63052444585173,2,6,6,D,59
bitmex-XBTUSD_,6.2793297691675924,231.10216940302558,3,1,1,D,59
bitmex-XBTUSD_,24.361814189735952,896.6033504858799,3,1,2,D,59
bitmex-XBTUSD_,8.15740972462813,300.22234113702325,3,1,3,D,59
bitmex-XBTUSD_,7.3199806129215474,269.4019046332887,3,1,4,D,59
bitmex-XBTUSD_,7.661415740969854,281.9679589261856,3,1,5,D,59
bitmex-XBTUSD_,7.251825055733133,266.8935322906776,3,1,6,D,59
bitmex-XBTUSD_,6.161883028200169,226.77970225690456,3,2,1,D,59
bitmex-XBTUSD_,10.685373071479567,393.2605848835602,3,2,2,D,59
bitmex-XBTUSD_,8.498188595172598,312.76424276739095,3,2,3,D,59
bitmex-XBTUSD_,8.057613887600558,296.54949144091313,3,2,4,D,59
bitmex-XBTUSD_,7.990602728456136,294.0832371077631,3,2,5,D,59
bitmex-XBTUSD_,7.245187617458913,266.6492504260776,3,2,6,D,59
bitmex-XBTUSD_,6.2447318277091215,229.82883934681618,3,3,1,D,59
bitmex-XBTUSD_,16.93273924231758,623.1863776369371,3,3,2,D,59
bitmex-XBTUSD_,8.201646975214421,301.8504328211255,3,3,3,D,59
bitmex-XBTUSD_,8.182421836613642,301.14287781110994,3,3,4,D,59
bitmex-XBTUSD_,7.7088506402713,283.7137357108043,3,3,5,D,59
bitmex-XBTUSD_,7.189048621070761,264.5831312174457,3,3,6,D,59
bitmex-XBTUSD_,6.4362565572994015,236.877645848423,3,4,1,D,59
bitmex-XBTUSD_,13.620131261601477,501.27035811456204,3,4,2,D,59
bitmex-XBTUSD_,7.751313940207633,285.27653956026654,3,4,3,D,59
bitmex-XBTUSD_,8.66215877553193,318.79894165906427,3,4,4,D,59
bitmex-XBTUSD_,8.268549652362124,304.3126946223167,3,4,5,D,59
bitmex-XBTUSD_,7.470053853879333,274.9251456207237,3,4,6,D,59
bitmex-XBTUSD_,6.4925716645712965,238.9502465779789,3,5,1,D,59
bitmex-XBTUSD_,14.20807656832582,522.9088833822572,3,5,2,D,59
bitmex-XBTUSD_,7.807914649521468,287.3596514835175,3,5,3,D,59
bitmex-XBTUSD_,8.403843886726369,309.29201442533497,3,5,4,D,59
bitmex-XBTUSD_,8.432725552828174,310.35496476198944,3,5,5,D,59
bitmex-XBTUSD_,7.935493728129045,292.05502549961386,3,5,6,D,59
bitmex-XBTUSD_,6.435098188839691,236.83501367686202,3,6,1,D,59
