Forex,MAE,EVR,order,n_b,n_c,frequency,N
bitmex-XBTUSD_,4.858907981002542,176.47577052157533,1,1,1,D,59
bitmex-XBTUSD_,4.202802901220323,152.64600260862213,1,1,2,D,59
bitmex-XBTUSD_,4.0970419193999055,148.8047586849153,1,1,3,D,59
bitmex-XBTUSD_,4.17582778075399,151.66626494167699,1,1,4,D,59
bitmex-XBTUSD_,4.43067479534685,160.92232071413446,1,1,5,D,59
bitmex-XBTUSD_,4.481908269454656,162.78312294686302,1,1,6,D,59
bitmex-XBTUSD_,5.299521968826408,192.4788916565751,1,2,1,D,59
bitmex-XBTUSD_,4.160620818602166,151.11394734819135,1,2,2,D,59
bitmex-XBTUSD_,4.079840392346759,148.17999839871098,1,2,3,D,59
bitmex-XBTUSD_,4.106240277129435,149.13884347808252,1,2,4,D,59
bitmex-XBTUSD_,4.797332452840908,174.23934439041918,1,2,5,D,59
bitmex-XBTUSD_,4.363367140365359,158.4777034624185,1,2,6,D,59
bitmex-XBTUSD_,5.021863148351959,182.39431000223598,1,3,1,D,59
bitmex-XBTUSD_,4.036518231790619,146.60653545298405,1,3,2,D,59
bitmex-XBTUSD_,4.088369852365793,148.48978879500518,1,3,3,D,59
bitmex-XBTUSD_,4.182373938239108,151.904021694976,1,3,4,D,59
bitmex-XBTUSD_,4.63996521341188,168.52375871938517,1,3,5,D,59
bitmex-XBTUSD_,5.112906314268389,185.70100214759958,1,3,6,D,59
bitmex-XBTUSD_,5.282995046106918,191.87863303207018,1,4,1,D,59
bitmex-XBTUSD_,4.3456301804877056,157.83349623039078,1,4,2,D,59
bitmex-XBTUSD_,3.837034653275518,139.36128232975247,1,4,3,D,59
bitmex-XBTUSD_,4.060565379102565,147.47992899476623,1,4,4,D,59
bitmex-XBTUSD_,4.8075975334942,174.6121726112537,1,4,5,D,59
bitmex-XBTUSD_,4.886449925138708,177.4760952513491,1,4,6,D,59
bitmex-XBTUSD_,5.7295641504759445,208.0980442851298,1,5,1,D,59
bitmex-XBTUSD_,4.354842843360042,158.1681005870297,1,5,2,D,59
bitmex-XBTUSD_,3.8324415501637468,139.19446060480848,1,5,3,D,59
bitmex-XBTUSD_,4.012096817840578,145.71954852898583,1,5,4,D,59
bitmex-XBTUSD_,4.961297413324181,180.19455960605183,1,5,5,D,59
bitmex-XBTUSD_,4.926956588645749,178.94729920944266,1,5,6,D,59
bitmex-XBTUSD_,5.684202675788171,206.45051335249667,1,6,1,D,59
bitmex-XBTUSD_,4.521154423864406,164.20854515418793,1,6,2,D,59
bitmex-XBTUSD_,4.50405663596049,163.5875526788508,1,6,3,D,59
bitmex-XBTUSD_,4.146408517528342,150.59775589268443,1,6,4,D,59
bitmex-XBTUSD_,5.736626592404128,208.35455251412134,1,6,5,D,59
bitmex-XBTUSD_,5.916557748227291,214.88966070898343,1,6,6,D,59
bitmex-XBTUSD_,5.314546263306952,193.02457475149347,2,1,1,D,59
bitmex-XBTUSD_,4.57767107015443,166.26123245354063,2,1,2,D,59
bitmex-XBTUSD_,4.207288738800865,152.8089284443358,2,1,3,D,59
bitmex-XBTUSD_,4.257114701785349,154.61860980567164,2,1,4,D,59
bitmex-XBTUSD_,4.458564625214469,161.93528067033185,2,1,5,D,59
bitmex-XBTUSD_,4.861262682250907,176.56129338366247,2,1,6,D,59
bitmex-XBTUSD_,6.406423353839423,232.6816029602919,2,2,1,D,59
bitmex-XBTUSD_,4.534742766914737,164.70207442440554,2,2,2,D,59
bitmex-XBTUSD_,4.3618209959127965,158.4215474218698,2,2,3,D,59
bitmex-XBTUSD_,4.27678766600657,155.33313280815645,2,2,4,D,59
bitmex-XBTUSD_,4.701986818249739,170.7763863767806,2,2,5,D,59
bitmex-XBTUSD_,4.7848485563692735,173.78592867282234,2,2,6,D,59
bitmex-XBTUSD_,5.5659536210305385,202.15570202176315,2,3,1,D,59
bitmex-XBTUSD_,4.8965356253313495,177.84240836526382,2,3,2,D,59
bitmex-XBTUSD_,4.321854731885812,156.969970798767,2,3,3,D,59
bitmex-XBTUSD_,4.286737440169776,155.69450908217374,2,3,4,D,59
bitmex-XBTUSD_,4.727369239118133,171.6982771180678,2,3,5,D,59
bitmex-XBTUSD_,5.01392248060622,182.10590456950004,2,3,6,D,59
bitmex-XBTUSD_,7.257609455109891,263.59672291446066,2,4,1,D,59
bitmex-XBTUSD_,6.238788369229668,226.59309229265935,2,4,2,D,59
bitmex-XBTUSD_,4.312394820290574,156.62638635667372,2,4,3,D,59
bitmex-XBTUSD_,4.4042977777532295,159.96430617216427,2,4,4,D,59
bitmex-XBTUSD_,4.61498986666177,167.61665292956533,2,4,5,D,59
bitmex-XBTUSD_,4.8664209785044905,176.74864295057932,2,4,6,D,59
bitmex-XBTUSD_,7.052620364821561,256.1515093400135,2,5,1,D,59
bitmex-XBTUSD_,6.238975640073645,226.5998939786794,2,5,2,D,59
bitmex-XBTUSD_,4.281772452236502,155.5141804827064,2,5,3,D,59
bitmex-XBTUSD_,4.43655100187904,161.13574481674488,2,5,4,D,59
bitmex-XBTUSD_,4.643066335116521,168.63639160818394,2,5,5,D,59
bitmex-XBTUSD_,4.857103292945188,176.41022416492115,2,5,6,D,59
bitmex-XBTUSD_,26.268885145614906,954.0871662810628,2,6,1,D,59
bitmex-XBTUSD_,5.403280403142936,196.2474029590557,2,6,2,D,59
bitmex-XBTUSD_,4.444670536490027,161.43064670259102,2,6,3,D,59
bitmex-XBTUSD_,4.073058985900399,147.9336973918756,2,6,4,D,59
bitmex-XBTUSD_,5.630818357910001,204.51159237104292,2,6,5,D,59
bitmex-XBTUSD_,6.540896009809246,237.56565626386174,2,6,6,D,59
bitmex-XBTUSD_,3.8084234931830174,138.32212362524896,3,1,1,D,59
bitmex-XBTUSD_,14.569419934174869,529.1620296141938,3,1,2,D,59
bitmex-XBTUSD_,5.4301542930732145,197.2234639280843,3,1,3,D,59
bitmex-XBTUSD_,4.645192955181781,168.71363055077984,3,1,4,D,59
bitmex-XBTUSD_,5.500406491519008,199.77502713941269,3,1,5,D,59
bitmex-XBTUSD_,5.370031222679846,195.03979113261732,3,1,6,D,59
bitmex-XBTUSD_,3.6449292445380643,132.38400468612247,3,2,1,D,59
bitmex-XBTUSD_,8.344926662232599,303.0881359394827,3,2,2,D,59
bitmex-XBTUSD_,5.917298570478278,214.9165674086109,3,2,3,D,59
bitmex-XBTUSD_,6.6972150495089275,243.24317127053655,3,2,4,D,59
bitmex-XBTUSD_,6.097837361443786,221.4737449409374,3,2,5,D,59
bitmex-XBTUSD_,5.7546511149882384,209.00920403741654,3,2,6,D,59
bitmex-XBTUSD_,3.6983133517819753,134.32291801732984,3,3,1,D,59
bitmex-XBTUSD_,12.163155985926808,441.7664077984155,3,3,2,D,59
bitmex-XBTUSD_,5.932499518041958,215.4686665519672,3,3,3,D,59
bitmex-XBTUSD_,7.219104748713519,262.1982301344832,3,3,4,D,59
bitmex-XBTUSD_,5.531110316784434,200.89019154319666,3,3,5,D,59
bitmex-XBTUSD_,5.801410654542983,210.70751275295947,3,3,6,D,59
bitmex-XBTUSD_,3.778722006515638,137.24336420733948,3,4,1,D,59
bitmex-XBTUSD_,9.542434620911093,346.58168233710387,3,4,2,D,59
bitmex-XBTUSD_,5.379413238933611,195.3805464121786,3,4,3,D,59
bitmex-XBTUSD_,6.813355142749892,247.46138501800456,3,4,4,D,59
bitmex-XBTUSD_,5.697066599634533,206.91773168253982,3,4,5,D,59
bitmex-XBTUSD_,5.774101539021513,209.71564436961958,3,4,6,D,59
bitmex-XBTUSD_,3.72452543291046,135.27494205898884,3,5,1,D,59
bitmex-XBTUSD_,9.591453243978842,348.3620410740073,3,5,2,D,59
bitmex-XBTUSD_,5.300591979676204,192.51775450187336,3,5,3,D,59
bitmex-XBTUSD_,6.596476518627671,239.58434300542228,3,5,4,D,59
bitmex-XBTUSD_,5.76536312058895,209.39826459374075,3,5,5,D,59
bitmex-XBTUSD_,5.749460801523768,208.82069160386726,3,5,6,D,59
bitmex-XBTUSD_,4.121665727967435,149.69909659111164,3,6,1,D,59
bitmex-XBTUSD_,7.521287353808837,273.1735168204867,3,6,2,D,59
bitmex-XBTUSD_,4.839321199187529,175.76437766821053,3,6,3,D,59
bitmex-XBTUSD_,6.314274231319845,229.33474241814716,3,6,4,D,59
bitmex-XBTUSD_,5.940563849506994,215.76156345690916,3,6,5,D,59
bitmex-XBTUSD_,6.367310186272743,231.26101084147487,3,6,6,D,59
bitmex-XBTUSD_,4.095770614667012,148.7585848361447,4,1,1,D,59
bitmex-XBTUSD_,95.33448790206178,3462.5531653564676,4,1,2,D,59
bitmex-XBTUSD_,5.765123740000948,209.3895702793226,4,1,3,D,59
bitmex-XBTUSD_,5.139669635019756,186.67304723875588,4,1,4,D,59
bitmex-XBTUSD_,5.673263855825389,206.0532148876818,4,1,5,D,59
bitmex-XBTUSD_,5.362040395942908,194.74956392291938,4,1,6,D,59
bitmex-XBTUSD_,3.8825341955381014,141.01382788331358,4,2,1,D,59
bitmex-XBTUSD_,7235.94211537885,262809.7640979656,4,2,2,D,59
bitmex-XBTUSD_,6.4496848033994505,234.25286087973305,4,2,3,D,59
bitmex-XBTUSD_,8.85997439744306,321.79469434355934,4,2,4,D,59
bitmex-XBTUSD_,6.431364771787348,233.58747645439183,4,2,5,D,59
bitmex-XBTUSD_,5.840928389317564,212.14279877213872,4,2,6,D,59
bitmex-XBTUSD_,3.9961815182837537,145.14150408703435,4,3,1,D,59
bitmex-XBTUSD_,41.95379382573153,1523.7638005590804,4,3,2,D,59
bitmex-XBTUSD_,7.023426501181119,255.0911868147481,4,3,3,D,59
bitmex-XBTUSD_,8.305879173266378,301.66992927057913,4,3,4,D,59
bitmex-XBTUSD_,6.0455476570025475,219.5745803719247,4,3,5,D,59
bitmex-XBTUSD_,5.182441646836577,188.22652875592877,4,3,6,D,59
bitmex-XBTUSD_,4.215375912351332,153.10265497491437,4,4,1,D,59
bitmex-XBTUSD_,23.913781764956582,868.5496987297861,4,4,2,D,59
bitmex-XBTUSD_,6.281300434463842,228.1371325375039,4,4,3,D,59
bitmex-XBTUSD_,8.472527361737122,307.7225994551935,4,4,4,D,59
bitmex-XBTUSD_,6.170066398424776,224.09710702251803,4,4,5,D,59
bitmex-XBTUSD_,5.927936498151463,215.30293745106042,4,4,6,D,59
bitmex-XBTUSD_,4.169145968605323,151.42358120450257,4,5,1,D,59
bitmex-XBTUSD_,24.19084193846678,878.6125374977194,4,5,2,D,59
bitmex-XBTUSD_,6.20243909248142,225.27288482070688,4,5,3,D,59
bitmex-XBTUSD_,8.20818895139634,298.12181573470974,4,5,4,D,59
bitmex-XBTUSD_,6.142696103637161,223.10301660530243,4,5,5,D,59
bitmex-XBTUSD_,5.854915128101756,212.6507977944859,4,5,6,D,59
bitmex-XBTUSD_,4.379447332790102,159.06173682122812,4,6,1,D,59
bitmex-XBTUSD_,129.83579843448533,4715.642415866891,4,6,2,D,59
bitmex-XBTUSD_,4.842290308896559,175.87221587500778,4,6,3,D,59
bitmex-XBTUSD_,8.383302583810503,304.4819512486869,4,6,4,D,59
bitmex-XBTUSD_,6.2702001138572045,227.73396836157136,4,6,5,D,59
bitmex-XBTUSD_,6.388089463505524,232.0157151855114,4,6,6,D,59
bitmex-XBTUSD_,5.559559813132956,201.92347861277813,5,1,1,D,59
bitmex-XBTUSD_,17.913373723697845,650.6145913630269,5,1,2,D,59
bitmex-XBTUSD_,6.897675263108109,250.52389582678467,5,1,3,D,59
bitmex-XBTUSD_,8.044792875404283,292.18726243103714,5,1,4,D,59
bitmex-XBTUSD_,5.7191319777289005,207.71914727144957,5,1,5,D,59
bitmex-XBTUSD_,5.040019830328981,183.05376156100968,5,1,6,D,59
bitmex-XBTUSD_,5.203807513477552,189.0025380553577,5,2,1,D,59
bitmex-XBTUSD_,74.04847231841948,2689.4440601532733,5,2,2,D,59
bitmex-XBTUSD_,5.773469097977226,209.6926740806089,5,2,3,D,59
bitmex-XBTUSD_,9.988608417900194,362.7867360071967,5,2,4,D,59
bitmex-XBTUSD_,6.996624710345039,254.11774448827305,5,2,5,D,59
bitmex-XBTUSD_,7.478876034891429,271.63313568669093,5,2,6,D,59
bitmex-XBTUSD_,5.2530605376165385,190.79141025039192,5,3,1,D,59
bitmex-XBTUSD_,9.41136109520356,341.82108560741574,5,3,2,D,59
bitmex-XBTUSD_,6.065532835924439,220.30044302728717,5,3,3,D,59
bitmex-XBTUSD_,8.137046350024935,295.5379130464894,5,3,4,D,59
bitmex-XBTUSD_,6.594416453281561,239.50952133341266,5,3,5,D,59
bitmex-XBTUSD_,6.943184563285854,252.17679578829168,5,3,6,D,59
bitmex-XBTUSD_,5.46076530471009,198.3352573364353,5,4,1,D,59
bitmex-XBTUSD_,7.7832861056166465,282.6893240310267,5,4,2,D,59
bitmex-XBTUSD_,6.31023259570658,229.187950019154,5,4,3,D,59
bitmex-XBTUSD_,9.324790804133533,338.67684849064125,5,4,4,D,59
bitmex-XBTUSD_,6.884820246317425,250.05700100143014,5,4,5,D,59
bitmex-XBTUSD_,8.775589998093727,318.72984891874415,5,4,6,D,59
bitmex-XBTUSD_,5.483459034416932,199.1594946859965,5,5,1,D,59
bitmex-XBTUSD_,7.842849387001505,284.85266526290104,5,5,2,D,59
bitmex-XBTUSD_,6.206178835737954,225.40871247484856,5,5,3,D,59
bitmex-XBTUSD_,8.398544780332328,305.0355485561781,5,5,4,D,59
bitmex-XBTUSD_,6.618576760508401,240.3870248487221,5,5,5,D,59
bitmex-XBTUSD_,8.882500524920857,322.61284437213664,5,5,6,D,59
bitmex-XBTUSD_,5.053121886439929,183.5296288663048,5,6,1,D,59
bitmex-XBTUSD_,11.111501326318582,403.570260206694,5,6,2,D,59
bitmex-XBTUSD_,6.678649320278446,242.56886309593142,5,6,3,D,59
bitmex-XBTUSD_,11.54900146476267,419.46028618312465,5,6,4,D,59
bitmex-XBTUSD_,6.981320262056399,253.56188619363047,5,6,5,D,59
bitmex-XBTUSD_,7.0869148814796965,257.3970878271082,5,6,6,D,59
bitmex-XBTUSD_,5.60152912139329,203.44780589834485,6,1,1,D,59
bitmex-XBTUSD_,5.549284555772918,201.5502807734673,6,1,2,D,59
bitmex-XBTUSD_,352.5364195132981,12804.139636678183,6,1,3,D,59
bitmex-XBTUSD_,19.139390634410965,695.1435842635956,6,1,4,D,59
bitmex-XBTUSD_,6.396750047924374,232.33026802628538,6,1,5,D,59
bitmex-XBTUSD_,5.50972413840984,200.11344452063017,6,1,6,D,59
bitmex-XBTUSD_,5.231905280538811,190.02305030038443,6,2,1,D,59
bitmex-XBTUSD_,5.25816083566161,190.9766533195986,6,2,2,D,59
bitmex-XBTUSD_,134.3156215204594,4878.349804849897,6,2,3,D,59
bitmex-XBTUSD_,17.767833673839466,645.3285697835017,6,2,4,D,59
bitmex-XBTUSD_,7.691922581532443,279.3709964616703,6,2,5,D,59
bitmex-XBTUSD_,7.123617560143166,258.7301308735429,6,2,6,D,59
bitmex-XBTUSD_,5.276003888269281,191.62471384466042,6,3,1,D,59
bitmex-XBTUSD_,5.278048707919497,191.69898179226522,6,3,2,D,59
bitmex-XBTUSD_,105.66762093576273,3837.8530519058863,6,3,3,D,59
bitmex-XBTUSD_,12.877481539322089,467.7107461006759,6,3,4,D,59
bitmex-XBTUSD_,8.665207980525897,314.72076875542945,6,3,5,D,59
bitmex-XBTUSD_,7.541172566447699,273.895748695663,6,3,6,D,59
bitmex-XBTUSD_,5.523117063808113,200.59987621236814,6,4,1,D,59
bitmex-XBTUSD_,5.534729618569777,201.02164475733775,6,4,2,D,59
bitmex-XBTUSD_,109.53106794817138,3978.1736323840164,6,4,3,D,59
bitmex-XBTUSD_,14.436965103053462,524.3512638057348,6,4,4,D,59
bitmex-XBTUSD_,8.095653185741511,294.0345113377507,6,4,5,D,59
bitmex-XBTUSD_,9.180179947650588,333.42457525900306,6,4,6,D,59
bitmex-XBTUSD_,5.5421003496486065,201.28935006304212,6,5,1,D,59
bitmex-XBTUSD_,5.554205169018982,201.7289976821705,6,5,2,D,59
bitmex-XBTUSD_,111.74851947133745,4058.711577880203,6,5,3,D,59
bitmex-XBTUSD_,13.924171348983805,505.726570104616,6,5,4,D,59
bitmex-XBTUSD_,8.043578846754073,292.14316885233205,6,5,5,D,59
bitmex-XBTUSD_,9.107509819596121,330.78519272851366,6,5,6,D,59
bitmex-XBTUSD_,5.096987358843025,185.1228249243277,6,6,1,D,59
bitmex-XBTUSD_,5.129966536409873,186.3206302326465,6,6,2,D,59
bitmex-XBTUSD_,703.3144723073484,25544.41530992014,6,6,3,D,59
bitmex-XBTUSD_,13.840151693463858,502.6749721931485,6,6,4,D,59
bitmex-XBTUSD_,7.599627135360616,276.01882143746974,6,6,5,D,59
bitmex-XBTUSD_,7.451471822477894,270.63781337967794,6,6,6,D,59
