Forex,MAE,EVR,order,n_b,n_c,frequency,N
mrcd-BTCBRL_,4.678626460924651,168.83833971044288,1,1,1,D,59
mrcd-BTCBRL_,11.835872945544159,427.123035754063,1,1,2,D,59
mrcd-BTCBRL_,4.300493440941675,155.19259307586245,1,1,3,D,59
mrcd-BTCBRL_,5.1930664910548066,187.4030191720727,1,1,4,D,59
mrcd-BTCBRL_,6.826590945914944,246.35227685238866,1,1,5,D,59
mrcd-BTCBRL_,6.465912682275017,233.3364227953893,1,1,6,D,59
mrcd-BTCBRL_,4.230658272784379,152.67244021827634,1,2,1,D,59
mrcd-BTCBRL_,7.69490002936465,277.68708531157284,1,2,2,D,59
mrcd-BTCBRL_,4.652420799699847,167.89265183192484,1,2,3,D,59
mrcd-BTCBRL_,4.796017897537917,173.07466321682736,1,2,4,D,59
mrcd-BTCBRL_,6.3378669862135935,228.7156173280928,1,2,5,D,59
mrcd-BTCBRL_,6.638116887480404,239.55078342897744,1,2,6,D,59
mrcd-BTCBRL_,4.296055287152876,155.03243271184564,1,3,1,D,59
mrcd-BTCBRL_,6.678080542109552,240.99295821097817,1,3,2,D,59
mrcd-BTCBRL_,4.480719132872005,161.6964263809622,1,3,3,D,59
mrcd-BTCBRL_,5.112410035044483,184.49235677287362,1,3,4,D,59
mrcd-BTCBRL_,6.008032417836184,216.81282462406776,1,3,5,D,59
mrcd-BTCBRL_,6.095581704943794,219.9722297190324,1,3,6,D,59
mrcd-BTCBRL_,4.296519302560803,155.04917770991906,1,4,1,D,59
mrcd-BTCBRL_,3.2575064199757953,117.55415401043267,1,4,2,D,59
mrcd-BTCBRL_,4.194772250291133,151.37741559787227,1,4,3,D,59
mrcd-BTCBRL_,5.254707215148126,189.627457819053,1,4,4,D,59
mrcd-BTCBRL_,5.758934754281697,207.82359748838013,1,4,5,D,59
mrcd-BTCBRL_,6.1523603638366415,222.02121024323506,1,4,6,D,59
mrcd-BTCBRL_,4.316647888197935,155.7755611919253,1,5,1,D,59
mrcd-BTCBRL_,4.353550953636007,157.10728800337895,1,5,2,D,59
mrcd-BTCBRL_,4.454275557949282,160.74215287286114,1,5,3,D,59
mrcd-BTCBRL_,5.178236361815107,186.86784193160813,1,5,4,D,59
mrcd-BTCBRL_,5.626292927190093,203.03693070714706,1,5,5,D,59
mrcd-BTCBRL_,6.023672846886538,217.37724328310705,1,5,6,D,59
mrcd-BTCBRL_,6.719230356742312,242.47793813831663,1,6,1,D,59
mrcd-BTCBRL_,3.443972597840229,124.28318872729294,1,6,2,D,59
mrcd-BTCBRL_,5.314297895990127,191.77791622807717,1,6,3,D,59
mrcd-BTCBRL_,5.26244828765639,189.90681113797885,1,6,4,D,59
mrcd-BTCBRL_,5.471450385118878,197.4491031816554,1,6,5,D,59
mrcd-BTCBRL_,5.812152122331455,209.74406114161755,1,6,6,D,59
mrcd-BTCBRL_,6.022712263738074,217.3425785657386,2,1,1,D,59
mrcd-BTCBRL_,8.648766996129353,312.1094347592695,2,1,2,D,59
mrcd-BTCBRL_,4.352392888575793,157.06549672474705,2,1,3,D,59
mrcd-BTCBRL_,4.8481870663111275,174.95730033550043,2,1,4,D,59
mrcd-BTCBRL_,6.920907041636756,249.7558768496611,2,1,5,D,59
mrcd-BTCBRL_,6.822183732703473,246.19323304592336,2,1,6,D,59
mrcd-BTCBRL_,6.88702130933586,248.53303702063462,2,2,1,D,59
mrcd-BTCBRL_,5.926202258638565,213.8598066106492,2,2,2,D,59
mrcd-BTCBRL_,4.854538778785212,175.18651559715877,2,2,3,D,59
mrcd-BTCBRL_,4.578493016111169,165.22480810816697,2,2,4,D,59
mrcd-BTCBRL_,6.466874525604072,233.37113298909583,2,2,5,D,59
mrcd-BTCBRL_,6.453546679863725,232.89016889300672,2,2,6,D,59
mrcd-BTCBRL_,12.999827009766932,469.12683181342106,2,3,1,D,59
mrcd-BTCBRL_,7.962002427136657,287.326052164163,2,3,2,D,59
mrcd-BTCBRL_,4.56867449046542,164.87048540634882,2,3,3,D,59
mrcd-BTCBRL_,5.024528956980755,181.3209782847283,2,3,4,D,59
mrcd-BTCBRL_,5.654477734532546,204.05404034744478,2,3,5,D,59
mrcd-BTCBRL_,7.7001422676886335,277.8762628025267,2,3,6,D,59
mrcd-BTCBRL_,7.937863561855853,286.4549490806953,2,4,1,D,59
mrcd-BTCBRL_,4.929752864069077,177.90077829545885,2,4,2,D,59
mrcd-BTCBRL_,4.410065482218724,159.14673681493005,2,4,3,D,59
mrcd-BTCBRL_,4.8632475897889496,175.50079184960242,2,4,4,D,59
mrcd-BTCBRL_,5.647479291654011,203.8014864224758,2,4,5,D,59
mrcd-BTCBRL_,7.096151308095478,256.0799446588312,2,4,6,D,59
mrcd-BTCBRL_,5.259520609031961,189.8011595322602,2,5,1,D,59
mrcd-BTCBRL_,4.79428218759726,173.01202637521433,2,5,2,D,59
mrcd-BTCBRL_,4.279410372497601,154.43176502048584,2,5,3,D,59
mrcd-BTCBRL_,4.770857907633865,172.1667106461295,2,5,4,D,59
mrcd-BTCBRL_,5.576305269615298,201.23301813121668,2,5,5,D,59
mrcd-BTCBRL_,6.100104913809145,220.13545947916984,2,5,6,D,59
mrcd-BTCBRL_,7.98165954420607,288.035421684729,2,6,1,D,59
mrcd-BTCBRL_,5.827199798669511,210.28708903893667,2,6,2,D,59
mrcd-BTCBRL_,4.380071284378755,158.064331411006,2,6,3,D,59
mrcd-BTCBRL_,4.728062629193957,170.62235060379942,2,6,4,D,59
mrcd-BTCBRL_,5.427187137018635,195.85176828393423,2,6,5,D,59
mrcd-BTCBRL_,5.770692843222753,208.24791352035143,2,6,6,D,59
mrcd-BTCBRL_,4.275403021548528,154.2871511072937,3,1,1,D,59
mrcd-BTCBRL_,13.194413301013356,476.14889835770464,3,1,2,D,59
mrcd-BTCBRL_,4.150458007053264,149.77824043048184,3,1,3,D,59
mrcd-BTCBRL_,4.810278611426246,173.58929187463974,3,1,4,D,59
mrcd-BTCBRL_,6.801957859173935,245.4633387202187,3,1,5,D,59
mrcd-BTCBRL_,6.8398933365082115,246.83232234452296,3,1,6,D,59
